ID,Drug,Time_hr
10E_S17,PBS,5
11E_S18,PBS,5
GF39_S19,PBS,5
GF40_S20,PBS,5
14E_S25,PBS,11
15E_S26,PBS,11
16E_S27,PBS,11
17E_S28,PBS,11
GF27_S1,PBS,17
GF28_S2,PBS,17
GF29_S3,PBS,17
3E_S4,PBS,17
GF32_S9,PBS,23
GF33_S10,PBS,23
GF34_S11,PBS,23
6E_S12,PBS,23
GF18_S21,Vanco,5
GF19_S22,Vanco,5
GF20_S23,Vanco,5
13E_S24,Vanco,5
GF26_S29,Vanco,11
GF47_S30,Vanco,11
GF48_S31,Vanco,11
GF49_S32,Vanco,11
GF5_S5,Vanco,17
GF8_S6,Vanco,17
GF30_S7,Vanco,17
GF31_S8,Vanco,17
GF12_S13,Vanco,23
GF13_S14,Vanco,23
GF14_S15,Vanco,23
GF37_S16,Vanco,23
