Sample Name,% Aligned,M Aligned,% Trimmed,% Dups,% GC,Length,% Failed,M Seqs
GF_S1,86.40%,13,2.60%,36.90%,49%,73 bp,9%,15
GF_S10,84.90%,12.9,2.90%,33.90%,49%,73 bp,9%,15.2
GF_S11,84.00%,11.5,2.80%,31.00%,49%,73 bp,9%,13.7
GF_S12,83.40%,13.1,3.80%,37.10%,49%,73 bp,9%,15.7
GF_S13,86.30%,12.9,2.10%,37.20%,49%,73 bp,9%,15
GF_S14,85.90%,13.2,2.40%,35.40%,49%,73 bp,9%,15.3
GF_S15,86.30%,12.8,2.30%,35.50%,49%,73 bp,9%,14.9
GF_S16,85.80%,12.9,2.80%,36.10%,49%,73 bp,9%,15.1
GF_S17,85.30%,15.7,2.20%,38.50%,49%,73 bp,9%,18.5
GF_S18,86.90%,14.5,2.10%,38.40%,49%,73 bp,9%,16.7
GF_S19,87.10%,15.6,2.40%,40.10%,49%,73 bp,9%,18
GF_S2,87.10%,13.2,3.40%,38.20%,49%,73 bp,9%,15.2
GF_S20,87.40%,15.1,2.40%,36.80%,49%,73 bp,9%,17.3
GF_S21,86.10%,14.9,1.70%,38.30%,49%,73 bp,9%,17.3
GF_S22,86.80%,12.1,1.90%,34.90%,49%,73 bp,9%,13.9
GF_S23,83.90%,14.7,2.80%,37.40%,49%,73 bp,9%,17.5
GF_S24,85.00%,14.8,2.40%,37.50%,49%,73 bp,9%,17.4
GF_S25,85.60%,14.7,2.70%,37.50%,49%,73 bp,9%,17.2
GF_S26,86.40%,14.4,2.50%,37.20%,49%,73 bp,9%,16.6
GF_S27,85.50%,15,3.00%,38.70%,49%,73 bp,9%,17.5
GF_S28,84.50%,13.3,2.70%,37.10%,48%,73 bp,9%,15.7
GF_S29,87.20%,14.9,2.30%,38.00%,49%,73 bp,9%,17
GF_S3,84.70%,10.5,3.10%,33.30%,49%,73 bp,9%,12.4
GF_S30,84.10%,13.3,3.10%,37.10%,48%,73 bp,9%,15.9
GF_S31,83.90%,14.1,2.60%,37.40%,48%,73 bp,9%,16.8
GF_S32,85.10%,13.9,2.10%,37.10%,48%,73 bp,9%,16.3
GF_S4,87.30%,12.9,3.00%,37.00%,49%,73 bp,9%,14.8
GF_S5,83.10%,12.4,3.10%,35.20%,49%,73 bp,9%,14.9
GF_S6,84.10%,12.1,3.60%,34.60%,49%,73 bp,9%,14.4
GF_S7,85.80%,11.8,3.70%,36.30%,49%,73 bp,9%,13.8
GF_S8,86.60%,13,2.90%,36.30%,49%,73 bp,9%,15
GF_S9,85.10%,12.2,4.00%,34.00%,49%,73 bp,9%,14.3
