NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	Details ...	125	0.5274364	2.388411	0.0	0.0	0.0	4578	tags=54%, list=23%, signal=70%	
GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT	GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT	Details ...	40	0.61100155	2.2608619	0.0	0.0028539158	0.005	7007	tags=85%, list=35%, signal=131%	
GOBP_STRESS_FIBER_ASSEMBLY	GOBP_STRESS_FIBER_ASSEMBLY	Details ...	118	0.49775636	2.2416985	0.0	0.0022934377	0.006	4051	tags=47%, list=20%, signal=59%	
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	Details ...	312	0.43409577	2.2357874	0.0	0.0022844886	0.008	5684	tags=49%, list=29%, signal=68%	
GOBP_PROTEIN_LOCALIZATION_TO_PHAGOPHORE_ASSEMBLY_SITE	GOBP_PROTEIN_LOCALIZATION_TO_PHAGOPHORE_ASSEMBLY_SITE	Details ...	16	0.7608057	2.2187421	0.0	0.0025126413	0.011	2495	tags=56%, list=13%, signal=64%	
GOBP_REGULATION_OF_FIBROBLAST_MIGRATION	GOBP_REGULATION_OF_FIBROBLAST_MIGRATION	Details ...	51	0.5645428	2.2150917	0.0	0.0020938676	0.011	3667	tags=49%, list=19%, signal=60%	
GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY	GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY	Details ...	98	0.49980122	2.1963246	0.0	0.0021168203	0.013	6255	tags=63%, list=32%, signal=92%	
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	Details ...	180	0.45343283	2.1941998	0.0	0.0018522177	0.013	3902	tags=43%, list=20%, signal=54%	
GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	Details ...	105	0.49658203	2.1911364	0.0	0.0017698116	0.014	6648	tags=68%, list=34%, signal=101%	
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	Details ...	99	0.4993193	2.1862218	0.0	0.0015928304	0.014	4914	tags=56%, list=25%, signal=74%	
GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	Details ...	350	0.4220201	2.1848547	0.0	0.0014480278	0.014	6255	tags=52%, list=32%, signal=75%	
