NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_AUTOPHAGY_OF_MITOCHONDRION	GOBP_AUTOPHAGY_OF_MITOCHONDRION	Details ...	92	0.5183235	2.0564775	0.0	0.068091474	0.063	3373	tags=39%, list=17%, signal=47%	
GOBP_PEPTIDYL_THREONINE_DEPHOSPHORYLATION	GOBP_PEPTIDYL_THREONINE_DEPHOSPHORYLATION	Details ...	15	0.75411206	2.040041	0.0	0.04912053	0.091	4464	tags=87%, list=23%, signal=112%	
GOBP_ENDOSOMAL_TRANSPORT	GOBP_ENDOSOMAL_TRANSPORT	Details ...	278	0.4374349	2.0215335	0.0	0.04910652	0.133	5892	tags=47%, list=30%, signal=66%	
GOBP_MITOPHAGY	GOBP_MITOPHAGY	Details ...	60	0.5372631	1.9882997	0.0	0.062623166	0.221	3373	tags=40%, list=17%, signal=48%	
GOBP_RESPONSE_TO_STEROL_DEPLETION	GOBP_RESPONSE_TO_STEROL_DEPLETION	Details ...	16	0.73295826	1.9751155	0.0	0.063156664	0.269	1730	tags=50%, list=9%, signal=55%	
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	Details ...	378	0.41625825	1.9743763	0.0	0.053132616	0.27	4314	tags=38%, list=22%, signal=47%	
GOBP_PROTEIN_POLYUBIQUITINATION	GOBP_PROTEIN_POLYUBIQUITINATION	Details ...	259	0.43165177	1.9638296	0.0	0.05356295	0.312	4417	tags=41%, list=22%, signal=52%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	Details ...	58	0.5263768	1.9631166	0.001497006	0.04724511	0.314	4419	tags=47%, list=22%, signal=60%	
GOBP_ERAD_PATHWAY	GOBP_ERAD_PATHWAY	Details ...	107	0.4762707	1.9502068	0.0	0.04967407	0.358	4999	tags=50%, list=25%, signal=67%	
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY	GOBP_ER_NUCLEUS_SIGNALING_PATHWAY	Details ...	43	0.54737103	1.9326454	0.0	0.057121035	0.441	4027	tags=51%, list=20%, signal=64%	
GOBP_MACROAUTOPHAGY	GOBP_MACROAUTOPHAGY	Details ...	293	0.41486773	1.9172016	0.0	0.0672419	0.522	5405	tags=43%, list=27%, signal=58%	
GOBP_NUCLEUS_LOCALIZATION	GOBP_NUCLEUS_LOCALIZATION	Details ...	42	0.53585887	1.8757018	0.0	0.10990989	0.728	2744	tags=40%, list=14%, signal=47%	
GOBP_POSITIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS	Details ...	95	0.4618965	1.8687185	0.0	0.109781474	0.754	5182	tags=46%, list=26%, signal=62%	
GOBP_NUCLEAR_MIGRATION	GOBP_NUCLEAR_MIGRATION	Details ...	33	0.5644921	1.8669924	0.0015479876	0.10452481	0.765	2744	tags=42%, list=14%, signal=49%	
GOBP_PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS	GOBP_PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS	Details ...	100	0.45186543	1.8562871	0.0	0.111318715	0.808	6076	tags=52%, list=31%, signal=75%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	Details ...	205	0.41764852	1.852886	0.0	0.10931164	0.829	4034	tags=36%, list=20%, signal=44%	
GOBP_PROTEIN_DEGLYCOSYLATION	GOBP_PROTEIN_DEGLYCOSYLATION	Details ...	15	0.69780475	1.8517547	0.0015948963	0.10423584	0.834	5300	tags=67%, list=27%, signal=91%	
GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	Details ...	26	0.58615935	1.8501737	0.003322259	0.10083666	0.843	4305	tags=54%, list=22%, signal=69%	
GOBP_ORGANELLE_DISASSEMBLY	GOBP_ORGANELLE_DISASSEMBLY	Details ...	164	0.4286708	1.8496416	0.0	0.09616674	0.846	3605	tags=32%, list=18%, signal=39%	
GOBP_DNA_REPAIR_DEPENDENT_CHROMATIN_REMODELING	GOBP_DNA_REPAIR_DEPENDENT_CHROMATIN_REMODELING	Details ...	24	0.5934243	1.8495166	0.0048859934	0.09140769	0.846	3848	tags=42%, list=19%, signal=52%	
GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR	GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR		136	0.43658805	1.8437172	0.0	0.093823574	0.86	3674	tags=33%, list=19%, signal=40%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS		120	0.4365279	1.8389463	0.0	0.095748045	0.878	4814	tags=42%, list=24%, signal=55%	
GOBP_VESICLE_TARGETING	GOBP_VESICLE_TARGETING		61	0.48746344	1.8316032	0.0	0.10069013	0.896	6507	tags=59%, list=33%, signal=88%	
GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT	GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT		102	0.44908452	1.8296807	0.0	0.09925002	0.905	4348	tags=35%, list=22%, signal=45%	
GOBP_ENDOSOME_TO_LYSOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY	GOBP_ENDOSOME_TO_LYSOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY		17	0.637526	1.8185471	0.0	0.10972286	0.928	5398	tags=59%, list=27%, signal=81%	
GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI		89	0.44826755	1.8124113	0.0	0.113899976	0.947	5892	tags=49%, list=30%, signal=70%	
GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS		152	0.41714558	1.8057861	0.0	0.1188527	0.955	6085	tags=47%, list=31%, signal=67%	
GOBP_CYTOKINETIC_PROCESS	GOBP_CYTOKINETIC_PROCESS		45	0.50873876	1.8050257	0.0	0.11550546	0.955	5742	tags=49%, list=29%, signal=69%	
GOBP_GOLGI_VESICLE_TRANSPORT	GOBP_GOLGI_VESICLE_TRANSPORT		280	0.39205793	1.804746	0.0	0.111832164	0.955	6168	tags=47%, list=31%, signal=68%	
GOBP_NUCLEAR_PORE_ORGANIZATION	GOBP_NUCLEAR_PORE_ORGANIZATION		15	0.65926665	1.7969991	0.0	0.11795671	0.965	4489	tags=60%, list=23%, signal=78%	
GOBP_MEMBRANE_FISSION	GOBP_MEMBRANE_FISSION		32	0.5428967	1.7949029	0.0031397175	0.11712816	0.969	5398	tags=56%, list=27%, signal=77%	
GOBP_REGULATION_OF_DNA_REPAIR	GOBP_REGULATION_OF_DNA_REPAIR		220	0.4009403	1.7887777	0.0	0.12232639	0.98	3674	tags=31%, list=19%, signal=38%	
GOBP_P_BODY_ASSEMBLY	GOBP_P_BODY_ASSEMBLY		19	0.6111886	1.7836777	0.0063897762	0.12614557	0.984	2110	tags=37%, list=11%, signal=41%	
GOBP_RNA_SPLICING	GOBP_RNA_SPLICING		427	0.37123662	1.7811515	0.0	0.12624335	0.986	4936	tags=34%, list=25%, signal=45%	
GOBP_SNRNA_TRANSCRIPTION	GOBP_SNRNA_TRANSCRIPTION		18	0.62403613	1.7792454	0.00821018	0.1255351	0.986	3083	tags=50%, list=16%, signal=59%	
GOBP_VACUOLE_ORGANIZATION	GOBP_VACUOLE_ORGANIZATION		231	0.39517856	1.7786282	0.0	0.12291018	0.986	5403	tags=41%, list=27%, signal=56%	
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS		134	0.41519198	1.7764874	0.0	0.12272653	0.988	5356	tags=43%, list=27%, signal=58%	
GOBP_MANNOSYLATION	GOBP_MANNOSYLATION		21	0.6057414	1.7734518	0.0047393367	0.12364006	0.989	5792	tags=67%, list=29%, signal=94%	
GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY	GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY		156	0.408873	1.7732475	0.0	0.120726705	0.989	3749	tags=35%, list=19%, signal=43%	
GOBP_MRNA_CATABOLIC_PROCESS	GOBP_MRNA_CATABOLIC_PROCESS		234	0.38769367	1.7731774	0.0	0.117758565	0.989	5356	tags=40%, list=27%, signal=54%	
