NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	Details ...	297	0.51108384	2.4684224	0.0	0.0	0.0	4917	tags=52%, list=25%, signal=68%	
GOBP_POSITIVE_REGULATION_OF_FIBROBLAST_MIGRATION	GOBP_POSITIVE_REGULATION_OF_FIBROBLAST_MIGRATION	Details ...	25	0.7583795	2.4604607	0.0	0.0	0.0	2777	tags=68%, list=14%, signal=79%	
GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	Details ...	105	0.5702403	2.460347	0.0	0.0	0.0	4218	tags=50%, list=21%, signal=63%	
GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS	GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS	Details ...	114	0.5650144	2.4491382	0.0	0.0	0.0	5004	tags=60%, list=25%, signal=79%	
GOBP_COLLAGEN_FIBRIL_ORGANIZATION	GOBP_COLLAGEN_FIBRIL_ORGANIZATION	Details ...	64	0.60936075	2.4179006	0.0	0.0	0.0	4256	tags=61%, list=22%, signal=77%	
GOBP_NEUROTRANSMITTER_SECRETION	GOBP_NEUROTRANSMITTER_SECRETION	Details ...	173	0.5205566	2.4020271	0.0	0.0	0.0	4570	tags=51%, list=23%, signal=66%	
GOBP_SYNAPSE_ASSEMBLY	GOBP_SYNAPSE_ASSEMBLY	Details ...	264	0.49831152	2.3950508	0.0	0.0	0.0	5564	tags=56%, list=28%, signal=77%	
GOBP_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION	GOBP_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION	Details ...	34	0.6696475	2.3897989	0.0	0.0	0.0	4485	tags=71%, list=23%, signal=91%	
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS	GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS	Details ...	156	0.52428854	2.3802555	0.0	0.0	0.0	5313	tags=56%, list=27%, signal=76%	
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	Details ...	362	0.4825909	2.362302	0.0	0.0	0.0	5565	tags=54%, list=28%, signal=73%	
GOBP_SYNAPTIC_VESICLE_CYCLE	GOBP_SYNAPTIC_VESICLE_CYCLE	Details ...	244	0.49563143	2.3580086	0.0	0.0	0.0	4917	tags=50%, list=25%, signal=66%	
GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE	GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE	Details ...	109	0.5430054	2.356809	0.0	0.0	0.0	5079	tags=61%, list=26%, signal=81%	
GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS	GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS	Details ...	73	0.5735571	2.3526804	0.0	0.0	0.0	4462	tags=59%, list=23%, signal=76%	
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE	GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE	Details ...	99	0.5476199	2.3364356	0.0	0.0	0.0	5491	tags=62%, list=28%, signal=85%	
GOBP_REGULATED_EXOCYTOSIS	GOBP_REGULATED_EXOCYTOSIS	Details ...	244	0.49093238	2.3360217	0.0	0.0	0.0	4570	tags=46%, list=23%, signal=59%	
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	Details ...	200	0.49777046	2.3235593	0.0	0.0	0.0	5914	tags=60%, list=30%, signal=84%	
GOBP_FOCAL_ADHESION_ASSEMBLY	GOBP_FOCAL_ADHESION_ASSEMBLY	Details ...	87	0.55357677	2.319105	0.0	0.0	0.0	4218	tags=47%, list=21%, signal=60%	
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	Details ...	58	0.5943346	2.3164122	0.0	0.0	0.0	3483	tags=53%, list=18%, signal=65%	
GOBP_LONG_TERM_SYNAPTIC_POTENTIATION	GOBP_LONG_TERM_SYNAPTIC_POTENTIATION	Details ...	114	0.5307182	2.3129945	0.0	0.0	0.0	5838	tags=61%, list=30%, signal=87%	
GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	Details ...	39	0.6389509	2.3107605	0.0	0.0	0.0	3457	tags=62%, list=17%, signal=74%	
GOBP_NEURON_PROJECTION_EXTENSION	GOBP_NEURON_PROJECTION_EXTENSION		188	0.49925706	2.3027515	0.0	0.0	0.0	5512	tags=55%, list=28%, signal=76%	
GOBP_NEUROTRANSMITTER_TRANSPORT	GOBP_NEUROTRANSMITTER_TRANSPORT		228	0.48361266	2.28562	0.0	0.0	0.0	5005	tags=50%, list=25%, signal=67%	
GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT		122	0.51537716	2.280853	0.0	0.0	0.0	5004	tags=54%, list=25%, signal=72%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_POSTSYNAPTIC_MEMBRANE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_POSTSYNAPTIC_MEMBRANE		24	0.7033921	2.2804306	0.0	4.220439E-5	0.001	3721	tags=75%, list=19%, signal=92%	
GOBP_REGULATION_OF_VESICLE_FUSION	GOBP_REGULATION_OF_VESICLE_FUSION		31	0.6563007	2.2790563	0.0	4.051621E-5	0.001	4720	tags=68%, list=24%, signal=89%	
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY		248	0.47877333	2.2773716	0.0	3.8957896E-5	0.001	5859	tags=57%, list=30%, signal=80%	
GOBP_MEMORY	GOBP_MEMORY		166	0.4980732	2.263261	0.0	3.751501E-5	0.001	5238	tags=56%, list=27%, signal=76%	
GOBP_NEUROMUSCULAR_PROCESS	GOBP_NEUROMUSCULAR_PROCESS		200	0.48161402	2.2571902	0.0	7.264887E-5	0.002	4451	tags=46%, list=23%, signal=59%	
