NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_SYNAPSE_ASSEMBLY	GOBP_SYNAPSE_ASSEMBLY	Details ...	264	0.5324239	2.2682464	0.0	0.0	0.0	3943	tags=47%, list=20%, signal=58%	
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	Details ...	200	0.5455644	2.2556589	0.0	0.0	0.0	5900	tags=66%, list=30%, signal=92%	
GOBP_NEURON_RECOGNITION	GOBP_NEURON_RECOGNITION	Details ...	48	0.6237095	2.2255316	0.0	0.0	0.0	4083	tags=63%, list=21%, signal=79%	
GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE	GOBP_RECEPTOR_LOCALIZATION_TO_SYNAPSE	Details ...	99	0.57507783	2.2180078	0.0	0.0	0.0	4368	tags=56%, list=22%, signal=71%	
GOBP_COLLAGEN_FIBRIL_ORGANIZATION	GOBP_COLLAGEN_FIBRIL_ORGANIZATION	Details ...	64	0.5975124	2.1961138	0.0	0.0	0.0	4758	tags=69%, list=24%, signal=90%	
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT	GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT	Details ...	96	0.5624353	2.193557	0.0	0.0	0.0	6448	tags=69%, list=33%, signal=102%	
GOBP_REGULATION_OF_AXONOGENESIS	GOBP_REGULATION_OF_AXONOGENESIS	Details ...	171	0.5310313	2.1920729	0.0	0.0	0.0	4184	tags=49%, list=21%, signal=61%	
GOBP_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	GOBP_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	Details ...	82	0.57305986	2.183191	0.0	0.0	0.0	6070	tags=66%, list=31%, signal=95%	
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	Details ...	123	0.54530996	2.18086	0.0	0.0	0.0	5159	tags=54%, list=26%, signal=73%	
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	Details ...	99	0.5549496	2.1696987	0.0	9.44902E-5	0.001	4964	tags=64%, list=25%, signal=85%	
