NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	Details ...	471	0.5362265	2.506101	0.0	0.0	0.0	3310	tags=45%, list=17%, signal=53%	
GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SMELL	GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SMELL	Details ...	195	0.5398236	2.3041015	0.0	5.141199E-4	0.001	3286	tags=49%, list=17%, signal=58%	
GOBP_DETECTION_OF_CHEMICAL_STIMULUS	GOBP_DETECTION_OF_CHEMICAL_STIMULUS	Details ...	244	0.50529724	2.2221463	0.0	6.8078545E-4	0.002	3286	tags=43%, list=17%, signal=50%	
GOBP_DETECTION_OF_STIMULUS	GOBP_DETECTION_OF_STIMULUS	Details ...	383	0.43542194	1.9941103	0.0	0.05243531	0.184	3508	tags=36%, list=18%, signal=42%	
GOBP_FACULTATIVE_HETEROCHROMATIN_FORMATION	GOBP_FACULTATIVE_HETEROCHROMATIN_FORMATION	Details ...	46	0.57313037	1.9450471	0.0	0.092855215	0.36	2627	tags=37%, list=13%, signal=43%	
GOBP_SERTOLI_CELL_DEVELOPMENT	GOBP_SERTOLI_CELL_DEVELOPMENT	Details ...	19	0.6769886	1.9114219	0.0	0.13452594	0.549	887	tags=21%, list=4%, signal=22%	
GOBP_CGMP_MEDIATED_SIGNALING	GOBP_CGMP_MEDIATED_SIGNALING	Details ...	33	0.58639866	1.8751991	0.0	0.19607179	0.737	4311	tags=48%, list=22%, signal=62%	
GOBP_RESPONSE_TO_PHEROMONE	GOBP_RESPONSE_TO_PHEROMONE	Details ...	64	0.50011975	1.8311394	0.0	0.31493652	0.919	5013	tags=56%, list=25%, signal=75%	
GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION	GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION	Details ...	34	0.5742522	1.829581	0.0	0.2855159	0.925	2627	tags=41%, list=13%, signal=47%	
GOBP_SERTOLI_CELL_DIFFERENTIATION	GOBP_SERTOLI_CELL_DIFFERENTIATION	Details ...	24	0.60975134	1.8066547	0.001669449	0.34213477	0.975	1618	tags=21%, list=8%, signal=23%	
GOBP_REGULATION_OF_NUCLEOTIDE_EXCISION_REPAIR	GOBP_REGULATION_OF_NUCLEOTIDE_EXCISION_REPAIR	Details ...	29	0.58083004	1.7900686	0.0	0.3817099	0.993	3609	tags=45%, list=18%, signal=55%	
GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION	GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION	Details ...	27	0.58354473	1.788619	0.0	0.35605305	0.993	2283	tags=41%, list=12%, signal=46%	
GOBP_PROTEIN_ACETYLATION	GOBP_PROTEIN_ACETYLATION	Details ...	60	0.48572704	1.7632515	0.0	0.4439542	0.999	2330	tags=32%, list=12%, signal=36%	
GOBP_POSITIVE_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE	GOBP_POSITIVE_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE	Details ...	50	0.50913763	1.7592288	0.0066006603	0.43058053	0.999	1744	tags=26%, list=9%, signal=28%	
GOBP_CELL_PROLIFERATION_IN_FOREBRAIN	GOBP_CELL_PROLIFERATION_IN_FOREBRAIN	Details ...	33	0.55243176	1.7510426	0.0032573289	0.44229335	0.999	5052	tags=45%, list=26%, signal=61%	
