NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_TRANSLATION_AT_SYNAPSE	GOBP_TRANSLATION_AT_SYNAPSE	Details ...	48	-0.86908305	-3.245263	0.0	0.0	0.0	1735	tags=88%, list=9%, signal=96%	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	149	-0.656757	-3.062812	0.0	0.0	0.0	2007	tags=50%, list=10%, signal=56%	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	Details ...	103	-0.67618895	-2.9716713	0.0	0.0	0.0	3681	tags=59%, list=19%, signal=72%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS	Details ...	311	-0.5596057	-2.854036	0.0	0.0	0.0	3720	tags=48%, list=19%, signal=58%	
GOBP_RRNA_PROCESSING	GOBP_RRNA_PROCESSING	Details ...	214	-0.559335	-2.7132463	0.0	0.0	0.0	3720	tags=48%, list=19%, signal=58%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	424	-0.4997566	-2.6087654	0.0	0.0	0.0	4793	tags=47%, list=24%, signal=61%	
GOBP_RRNA_METABOLIC_PROCESS	GOBP_RRNA_METABOLIC_PROCESS	Details ...	248	-0.51712984	-2.5766118	0.0	0.0	0.0	3993	tags=45%, list=20%, signal=56%	
GOBP_RIBOSOME_ASSEMBLY	GOBP_RIBOSOME_ASSEMBLY	Details ...	61	-0.5926808	-2.3980923	0.0	0.0	0.0	3580	tags=48%, list=18%, signal=58%	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	Details ...	68	-0.57967925	-2.3718505	0.0	0.0	0.0	5132	tags=62%, list=26%, signal=83%	
GOBP_IMMUNOGLOBULIN_PRODUCTION	GOBP_IMMUNOGLOBULIN_PRODUCTION	Details ...	209	-0.47904673	-2.3215122	0.0	2.0832443E-4	0.003	4605	tags=48%, list=23%, signal=62%	
GOBP_MATURATION_OF_SSU_RRNA	GOBP_MATURATION_OF_SSU_RRNA	Details ...	49	-0.5998363	-2.3111832	0.0	2.5195224E-4	0.004	3993	tags=49%, list=20%, signal=61%	
GOBP_CHROMOSOME_SEPARATION	GOBP_CHROMOSOME_SEPARATION	Details ...	80	-0.5368958	-2.2995176	0.0	2.3095623E-4	0.004	3495	tags=46%, list=18%, signal=56%	
GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	Details ...	96	-0.5159504	-2.273132	0.0	2.1319037E-4	0.004	3824	tags=43%, list=19%, signal=53%	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	Details ...	19	-0.7425833	-2.2591577	0.0	3.4473912E-4	0.007	3580	tags=68%, list=18%, signal=83%	
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION	GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION	Details ...	24	-0.6836551	-2.2384613	0.0	3.6773446E-4	0.008	3813	tags=67%, list=19%, signal=83%	
GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION	GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION	Details ...	61	-0.56258965	-2.2074673	0.0	5.599744E-4	0.012	3495	tags=46%, list=18%, signal=56%	
