NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RIG_I_SIGNALING_PATHWAY	GOBP_RIG_I_SIGNALING_PATHWAY	Details ...	26	0.7293701	2.4438436	0.0	0.0012983293	0.001	2094	tags=54%, list=11%, signal=60%	
GOBP_RESPONSE_TO_INTERFERON_BETA	GOBP_RESPONSE_TO_INTERFERON_BETA	Details ...	67	0.5840443	2.3689911	0.0	6.4916466E-4	0.001	2835	tags=48%, list=14%, signal=56%	
GOBP_DEFENSE_RESPONSE_TO_VIRUS	GOBP_DEFENSE_RESPONSE_TO_VIRUS	Details ...	285	0.44106337	2.2386608	0.0	0.003866103	0.009	3548	tags=32%, list=18%, signal=39%	
GOBP_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	GOBP_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	Details ...	108	0.49247888	2.18869	0.0	0.0048084348	0.015	2088	tags=31%, list=11%, signal=35%	
GOBP_REGULATION_OF_RIG_I_SIGNALING_PATHWAY	GOBP_REGULATION_OF_RIG_I_SIGNALING_PATHWAY	Details ...	18	0.72427976	2.1366773	0.0	0.007942396	0.03	2088	tags=56%, list=11%, signal=62%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	Details ...	205	0.43375307	2.1135652	0.0	0.010268949	0.046	4178	tags=36%, list=21%, signal=45%	
GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	Details ...	51	0.5548193	2.1065438	0.0	0.010081714	0.053	2081	tags=33%, list=11%, signal=37%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	Details ...	99	0.48145092	2.1056817	0.0	0.009140446	0.055	3027	tags=33%, list=15%, signal=39%	
GOBP_RESPONSE_TO_VIRUS	GOBP_RESPONSE_TO_VIRUS	Details ...	341	0.41232175	2.101135	0.0	0.008975387	0.061	3548	tags=30%, list=18%, signal=37%	
GOBP_CGAS_STING_SIGNALING_PATHWAY	GOBP_CGAS_STING_SIGNALING_PATHWAY	Details ...	18	0.69672245	2.0923848	0.0	0.009883452	0.075	1549	tags=50%, list=8%, signal=54%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION	GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION	Details ...	88	0.4965168	2.0867622	0.0	0.010270522	0.084	3975	tags=43%, list=20%, signal=54%	
GOBP_PROTEIN_POLYUBIQUITINATION	GOBP_PROTEIN_POLYUBIQUITINATION	Details ...	259	0.40946782	2.0477984	0.0	0.016284786	0.138	4916	tags=41%, list=25%, signal=54%	
GOBP_REGULATION_OF_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY	GOBP_REGULATION_OF_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY	Details ...	43	0.5505782	2.0445707	0.0	0.016323285	0.148	4010	tags=49%, list=20%, signal=61%	
GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	Details ...	45	0.54674333	2.038109	0.0	0.016534349	0.16	1805	tags=29%, list=9%, signal=32%	
GOBP_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY	GOBP_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY	Details ...	40	0.5598767	2.036261	0.0	0.016034944	0.166	2149	tags=33%, list=11%, signal=36%	
GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	Details ...	169	0.43437067	2.0314353	0.0	0.016396971	0.183	2131	tags=28%, list=11%, signal=31%	
GOBP_TYPE_I_INTERFERON_PRODUCTION	GOBP_TYPE_I_INTERFERON_PRODUCTION	Details ...	139	0.43827426	2.0223234	0.0	0.017995687	0.212	3228	tags=32%, list=16%, signal=38%	
GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	Details ...	71	0.4929118	2.0215366	0.0	0.017207893	0.215	3877	tags=44%, list=20%, signal=54%	
GOBP_NUCLEAR_MEMBRANE_REASSEMBLY	GOBP_NUCLEAR_MEMBRANE_REASSEMBLY	Details ...	20	0.6540702	2.02015	0.0	0.016708316	0.22	4702	tags=50%, list=24%, signal=66%	
GOBP_IMPORT_INTO_NUCLEUS	GOBP_IMPORT_INTO_NUCLEUS	Details ...	184	0.4229155	2.01424	0.0	0.017222267	0.237	4806	tags=42%, list=24%, signal=55%	
GOBP_REGULATION_OF_VIRAL_PROCESS	GOBP_REGULATION_OF_VIRAL_PROCESS		166	0.42780522	2.0134332	0.0	0.016707571	0.242	3641	tags=34%, list=18%, signal=41%	
GOBP_HIPPO_SIGNALING	GOBP_HIPPO_SIGNALING		40	0.5481602	2.0110028	0.0	0.01693957	0.258	4944	tags=52%, list=25%, signal=70%	
GOBP_MIDBODY_ABSCISSION	GOBP_MIDBODY_ABSCISSION		16	0.6979165	2.010799	0.0017513135	0.016203066	0.258	2653	tags=44%, list=13%, signal=50%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY		37	0.56651396	2.0064585	0.0	0.016490577	0.275	2729	tags=35%, list=14%, signal=41%	
GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY	GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY		49	0.5287408	2.0063698	0.0015873016	0.015830955	0.275	4010	tags=47%, list=20%, signal=59%	
GOBP_NUCLEAR_TRANSPORT	GOBP_NUCLEAR_TRANSPORT		344	0.39087552	2.0044897	0.0	0.015716799	0.283	4549	tags=39%, list=23%, signal=50%	
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS	GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS		19	0.67030793	2.0028048	0.0017921147	0.0156116355	0.291	2814	tags=42%, list=14%, signal=49%	
