NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_TRANSLATION_AT_SYNAPSE	GOBP_TRANSLATION_AT_SYNAPSE	Details ...	48	-0.7850545	-2.9261816	0.0	0.0	0.0	3802	tags=92%, list=19%, signal=113%	
GOBP_COMPLEMENT_ACTIVATION	GOBP_COMPLEMENT_ACTIVATION	Details ...	54	-0.6797573	-2.5814416	0.0	0.0	0.0	2225	tags=46%, list=11%, signal=52%	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	149	-0.56239265	-2.5779505	0.0	0.0	0.0	3802	tags=52%, list=19%, signal=64%	
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	Details ...	49	-0.64824045	-2.4908907	0.0	0.0	0.0	1635	tags=41%, list=8%, signal=44%	
GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY	GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY	Details ...	34	-0.71818197	-2.4782207	0.0	0.0	0.0	3062	tags=59%, list=15%, signal=69%	
GOBP_HUMORAL_IMMUNE_RESPONSE	GOBP_HUMORAL_IMMUNE_RESPONSE	Details ...	191	-0.48355678	-2.2859032	0.0	3.634054E-4	0.003	3062	tags=38%, list=15%, signal=44%	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	Details ...	103	-0.52972746	-2.2520597	0.0	4.1431197E-4	0.004	6248	tags=62%, list=32%, signal=90%	
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	Details ...	68	-0.55750245	-2.2109044	0.0	8.116958E-4	0.009	3013	tags=43%, list=15%, signal=50%	
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION	GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION	Details ...	22	-0.7024847	-2.2034624	0.0	8.0109906E-4	0.01	2848	tags=50%, list=14%, signal=58%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS	Details ...	311	-0.43729502	-2.1809442	0.0	0.0010840651	0.015	6302	tags=52%, list=32%, signal=76%	
GOBP_RIBOSOME_ASSEMBLY	GOBP_RIBOSOME_ASSEMBLY	Details ...	61	-0.54881513	-2.1632142	0.0	0.0011815578	0.018	4083	tags=48%, list=21%, signal=60%	
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	Details ...	110	-0.48614636	-2.1334052	0.0	0.002284838	0.038	3954	tags=49%, list=20%, signal=61%	
GOBP_RRNA_PROCESSING	GOBP_RRNA_PROCESSING	Details ...	214	-0.4404014	-2.1234853	0.0	0.0023852123	0.043	5180	tags=44%, list=26%, signal=59%	
GOBP_B_CELL_MEDIATED_IMMUNITY	GOBP_B_CELL_MEDIATED_IMMUNITY	Details ...	215	-0.44089332	-2.0954847	0.0	0.0031378942	0.06	4061	tags=40%, list=21%, signal=50%	
