NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RESPONSE_TO_INTERFERON_BETA	GOBP_RESPONSE_TO_INTERFERON_BETA	Details ...	67	0.7514058	2.7409003	0.0	0.0	0.0	1976	tags=58%, list=10%, signal=64%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	Details ...	99	0.70440954	2.712566	0.0	0.0	0.0	1907	tags=44%, list=10%, signal=49%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	Details ...	53	0.74822766	2.6664367	0.0	0.0	0.0	1010	tags=43%, list=5%, signal=46%	
GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY	Details ...	80	0.7051016	2.6597884	0.0	0.0	0.0	1750	tags=44%, list=9%, signal=48%	
GOBP_RESPONSE_TO_TYPE_I_INTERFERON	GOBP_RESPONSE_TO_TYPE_I_INTERFERON	Details ...	70	0.7170907	2.6110687	0.0	0.0	0.0	1783	tags=47%, list=9%, signal=52%	
GOBP_DEFENSE_RESPONSE_TO_VIRUS	GOBP_DEFENSE_RESPONSE_TO_VIRUS	Details ...	285	0.61184317	2.6014102	0.0	0.0	0.0	2013	tags=35%, list=10%, signal=38%	
GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE	GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE	Details ...	137	0.63898873	2.5853786	0.0	0.0	0.0	1907	tags=35%, list=10%, signal=39%	
GOBP_REGULATION_OF_VIRAL_PROCESS	GOBP_REGULATION_OF_VIRAL_PROCESS	Details ...	166	0.625595	2.568943	0.0	0.0	0.0	1907	tags=34%, list=10%, signal=37%	
GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	Details ...	53	0.7302473	2.556839	0.0	0.0	0.0	1014	tags=38%, list=5%, signal=40%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	Details ...	41	0.76369154	2.5538132	0.0	0.0	0.0	571	tags=39%, list=3%, signal=40%	
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION	Details ...	79	0.66898984	2.5279737	0.0	0.0	0.0	1252	tags=33%, list=6%, signal=35%	
GOBP_RESPONSE_TO_VIRUS	GOBP_RESPONSE_TO_VIRUS	Details ...	341	0.5848564	2.512451	0.0	0.0	0.0	2013	tags=32%, list=10%, signal=35%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	Details ...	33	0.7795557	2.4940298	0.0	0.0	0.0	505	tags=42%, list=3%, signal=43%	
GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	Details ...	46	0.7361368	2.468376	0.0	0.0	0.0	1750	tags=48%, list=9%, signal=52%	
GOBP_RESPONSE_TO_INTERFERON_ALPHA	GOBP_RESPONSE_TO_INTERFERON_ALPHA	Details ...	31	0.7880948	2.4674628	0.0	0.0	0.0	1010	tags=45%, list=5%, signal=48%	
GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	Details ...	28	0.77483505	2.4136982	0.0	0.0	0.0	1010	tags=46%, list=5%, signal=49%	
GOBP_VIRAL_GENOME_REPLICATION	GOBP_VIRAL_GENOME_REPLICATION	Details ...	112	0.6094955	2.403534	0.0	0.0	0.0	1674	tags=30%, list=8%, signal=33%	
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	Details ...	113	0.6126213	2.403022	0.0	0.0	0.0	1133	tags=27%, list=6%, signal=29%	
GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	Details ...	86	0.63109714	2.3942358	0.0	0.0	0.0	1383	tags=29%, list=7%, signal=31%	
GOBP_RIG_I_SIGNALING_PATHWAY	GOBP_RIG_I_SIGNALING_PATHWAY	Details ...	26	0.7855233	2.3758543	0.0	0.0	0.0	1771	tags=58%, list=9%, signal=63%	
GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION		50	0.6798758	2.3657665	0.0	0.0	0.0	1499	tags=42%, list=8%, signal=45%	
GOBP_TYPE_I_INTERFERON_PRODUCTION	GOBP_TYPE_I_INTERFERON_PRODUCTION		139	0.58929306	2.3565211	0.0	0.0	0.0	1680	tags=34%, list=8%, signal=37%	
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_ALPHA	GOBP_CELLULAR_RESPONSE_TO_INTERFERON_ALPHA		19	0.81614023	2.3494112	0.0	0.0	0.0	1010	tags=47%, list=5%, signal=50%	
GOBP_VIRAL_LIFE_CYCLE	GOBP_VIRAL_LIFE_CYCLE		230	0.5608151	2.346218	0.0	0.0	0.0	1907	tags=29%, list=10%, signal=32%	
GOBP_REGULATION_OF_NUCLEASE_ACTIVITY	GOBP_REGULATION_OF_NUCLEASE_ACTIVITY		26	0.7682076	2.3453453	0.0	0.0	0.0	1611	tags=46%, list=8%, signal=50%	
GOBP_INTERFERON_BETA_PRODUCTION	GOBP_INTERFERON_BETA_PRODUCTION		71	0.6325285	2.3128216	0.0	0.0	0.0	1499	tags=37%, list=8%, signal=39%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB		30	0.7402275	2.294098	0.0	0.0	0.0	2102	tags=50%, list=11%, signal=56%	
GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY		169	0.5561113	2.2758958	0.0	0.0	0.0	1907	tags=29%, list=10%, signal=32%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN		65	0.6237211	2.2681766	0.0	0.0	0.0	571	tags=25%, list=3%, signal=25%	
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST		136	0.5626464	2.26587	0.0	0.0	0.0	3354	tags=40%, list=17%, signal=47%	
GOBP_MODULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST	GOBP_MODULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST		55	0.62156856	2.2367995	0.0	0.0	0.0	1783	tags=36%, list=9%, signal=40%	
GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION		45	0.6623642	2.2358382	0.0	0.0	0.0	1470	tags=40%, list=7%, signal=43%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION		114	0.5716068	2.2240496	0.0	0.0	0.0	2115	tags=31%, list=11%, signal=34%	
GOBP_REGULATION_OF_RIBONUCLEASE_ACTIVITY	GOBP_REGULATION_OF_RIBONUCLEASE_ACTIVITY		15	0.8301471	2.2088523	0.0	0.0	0.0	1010	tags=60%, list=5%, signal=63%	
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY		48	0.6458698	2.2018583	0.0	0.0	0.0	2102	tags=38%, list=11%, signal=42%	
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE		297	0.5125084	2.1992004	0.0	3.0807343E-5	0.001	3724	tags=36%, list=19%, signal=43%	
GOBP_T_CELL_MEDIATED_CYTOTOXICITY	GOBP_T_CELL_MEDIATED_CYTOTOXICITY		61	0.6141363	2.1962388	0.0	2.9974712E-5	0.001	2285	tags=34%, list=12%, signal=39%	
GOBP_NEGATIVE_REGULATION_OF_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY		17	0.79654884	2.1959994	0.0	2.9185903E-5	0.001	395	tags=29%, list=2%, signal=30%	
GOBP_SUPPRESSION_OF_VIRAL_RELEASE_BY_HOST	GOBP_SUPPRESSION_OF_VIRAL_RELEASE_BY_HOST		23	0.740004	2.1847224	0.0	2.8437547E-5	0.001	3354	tags=65%, list=17%, signal=78%	
GOBP_RESPONSE_TO_PROTOZOAN	GOBP_RESPONSE_TO_PROTOZOAN		46	0.641855	2.1829133	0.0	2.7726608E-5	0.001	2836	tags=46%, list=14%, signal=53%	
GOBP_REGULATION_OF_RIG_I_SIGNALING_PATHWAY	GOBP_REGULATION_OF_RIG_I_SIGNALING_PATHWAY		18	0.78199375	2.1645494	0.0	1.0816616E-4	0.004	1771	tags=56%, list=9%, signal=61%	
GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION		63	0.5964376	2.156742	0.0	1.5806645E-4	0.006	1783	tags=35%, list=9%, signal=38%	
GOBP_VIRAL_PROCESS	GOBP_VIRAL_PROCESS		304	0.5066887	2.1567416	0.0	1.543905E-4	0.006	3855	tags=34%, list=20%, signal=41%	
GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY	GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY		49	0.61506206	2.1551626	0.0	1.5088162E-4	0.006	1628	tags=29%, list=8%, signal=31%	
GOBP_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	GOBP_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY		108	0.551717	2.1369038	0.0	2.4617862E-4	0.01	2770	tags=31%, list=14%, signal=35%	
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE	GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE		430	0.49491683	2.1331878	0.0	2.8884396E-4	0.012	1771	tags=24%, list=9%, signal=26%	
