NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RESPONSE_TO_INTERFERON_BETA	GOBP_RESPONSE_TO_INTERFERON_BETA	Details ...	67	0.76616406	3.3003902	0.0	0.0	0.0	811	tags=48%, list=4%, signal=50%	
GOBP_DEFENSE_RESPONSE_TO_VIRUS	GOBP_DEFENSE_RESPONSE_TO_VIRUS	Details ...	285	0.60668224	3.246801	0.0	0.0	0.0	1648	tags=32%, list=8%, signal=34%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	Details ...	99	0.7088435	3.1941934	0.0	0.0	0.0	796	tags=36%, list=4%, signal=38%	
GOBP_RESPONSE_TO_VIRUS	GOBP_RESPONSE_TO_VIRUS	Details ...	341	0.5765304	3.1084678	0.0	0.0	0.0	1741	tags=30%, list=9%, signal=32%	
GOBP_REGULATION_OF_VIRAL_PROCESS	GOBP_REGULATION_OF_VIRAL_PROCESS	Details ...	166	0.6135464	2.9917212	0.0	0.0	0.0	2565	tags=39%, list=13%, signal=45%	
GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE	GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE	Details ...	137	0.6118066	2.9092748	0.0	0.0	0.0	1154	tags=29%, list=6%, signal=31%	
GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY	Details ...	80	0.66757417	2.8986878	0.0	0.0	0.0	1272	tags=38%, list=6%, signal=40%	
GOBP_RESPONSE_TO_TYPE_I_INTERFERON	GOBP_RESPONSE_TO_TYPE_I_INTERFERON	Details ...	70	0.6756385	2.8862107	0.0	0.0	0.0	1075	tags=37%, list=5%, signal=39%	
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	Details ...	53	0.71679157	2.8619878	0.0	0.0	0.0	648	tags=38%, list=3%, signal=39%	
GOBP_TYPE_I_INTERFERON_PRODUCTION	GOBP_TYPE_I_INTERFERON_PRODUCTION	Details ...	139	0.5913861	2.8527908	0.0	0.0	0.0	2653	tags=41%, list=13%, signal=47%	
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION	Details ...	79	0.6464538	2.8309686	0.0	0.0	0.0	1154	tags=30%, list=6%, signal=32%	
