NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_TRANSLATION_AT_SYNAPSE	GOBP_TRANSLATION_AT_SYNAPSE	Details ...	48	-0.71307486	-2.868211	0.0	0.0	0.0	4258	tags=77%, list=22%, signal=98%	
GOBP_SPINDLE_CHECKPOINT_SIGNALING	GOBP_SPINDLE_CHECKPOINT_SIGNALING	Details ...	53	-0.5129033	-2.1358995	0.0	0.0451606	0.117	2608	tags=38%, list=13%, signal=43%	
GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	Details ...	18	-0.66787374	-2.1299403	0.0	0.033234693	0.127	2608	tags=61%, list=13%, signal=70%	
GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION	GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION	Details ...	61	-0.49668315	-2.125463	0.0	0.02581181	0.132	2608	tags=38%, list=13%, signal=43%	
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	Details ...	70	-0.4781894	-2.084966	0.0	0.032826696	0.209	925	tags=14%, list=5%, signal=15%	
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	Details ...	47	-0.4911636	-2.0338616	0.0	0.05049939	0.339	2943	tags=43%, list=15%, signal=50%	
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION	GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION	Details ...	24	-0.5884216	-1.9928231	0.0	0.068993844	0.49	2579	tags=38%, list=13%, signal=43%	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	149	-0.3877251	-1.9404665	0.0	0.10580258	0.693	4258	tags=48%, list=22%, signal=60%	
GOBP_CHROMOSOME_SEPARATION	GOBP_CHROMOSOME_SEPARATION	Details ...	80	-0.43293247	-1.9343475	0.0	0.10012376	0.719	2745	tags=34%, list=14%, signal=39%	
GOBP_EXTRACELLULAR_TRANSPORT	GOBP_EXTRACELLULAR_TRANSPORT	Details ...	55	-0.4533436	-1.9241134	0.0	0.09989709	0.754	3586	tags=35%, list=18%, signal=42%	
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	Details ...	77	-0.42214486	-1.9099722	0.0	0.103996664	0.796	1596	tags=18%, list=8%, signal=20%	
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION	GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION	Details ...	28	-0.5273016	-1.9015768	0.0	0.10364551	0.83	3171	tags=54%, list=16%, signal=64%	
GOBP_CEREBROSPINAL_FLUID_CIRCULATION	GOBP_CEREBROSPINAL_FLUID_CIRCULATION	Details ...	19	-0.57985646	-1.8778325	0.0	0.119839415	0.891	3515	tags=47%, list=18%, signal=58%	
GOBP_POSITIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	GOBP_POSITIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	Details ...	15	-0.6158433	-1.8292773	0.0053050397	0.1732207	0.957	2745	tags=53%, list=14%, signal=62%	
GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	Details ...	20	-0.5730878	-1.824417	0.005	0.16855623	0.963	2767	tags=55%, list=14%, signal=64%	
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	Details ...	65	-0.41051975	-1.8059009	0.0	0.18344235	0.98	2608	tags=32%, list=13%, signal=37%	
GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_OXIDATIVE_PHOSPHORYLATION	Details ...	142	-0.35749036	-1.7895061	0.0	0.19772221	0.99	993	tags=13%, list=5%, signal=13%	
GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	Details ...	56	-0.4226568	-1.7853385	0.006756757	0.19371267	0.99	2767	tags=36%, list=14%, signal=41%	
GOBP_ATP_BIOSYNTHETIC_PROCESS	GOBP_ATP_BIOSYNTHETIC_PROCESS	Details ...	98	-0.37286952	-1.7707468	0.0	0.20717493	0.995	925	tags=12%, list=5%, signal=13%	
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	Details ...	119	-0.36703622	-1.7679919	0.0	0.20095319	0.996	4274	tags=28%, list=22%, signal=35%	
GOBP_AEROBIC_ELECTRON_TRANSPORT_CHAIN	GOBP_AEROBIC_ELECTRON_TRANSPORT_CHAIN		63	-0.40823707	-1.7606643	0.0	0.20347524	0.996	1596	tags=17%, list=8%, signal=19%	
GOBP_REGULATION_OF_TRANSMISSION_OF_NERVE_IMPULSE	GOBP_REGULATION_OF_TRANSMISSION_OF_NERVE_IMPULSE		22	-0.52022886	-1.758163	0.0028169013	0.19802086	0.996	874	tags=23%, list=4%, signal=24%	
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY		61	-0.40746158	-1.7384472	0.0033444816	0.22146441	0.999	1675	tags=16%, list=8%, signal=18%	
GOBP_MITOTIC_SPINDLE_ORGANIZATION	GOBP_MITOTIC_SPINDLE_ORGANIZATION		124	-0.357039	-1.7344644	0.0	0.21972758	1.0	2605	tags=25%, list=13%, signal=29%	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY		19	-0.54474455	-1.7247388	0.011396011	0.22788055	1.0	2369	tags=32%, list=12%, signal=36%	
GOBP_URONIC_ACID_METABOLIC_PROCESS	GOBP_URONIC_ACID_METABOLIC_PROCESS		17	-0.54072917	-1.7201978	0.013404826	0.22702731	1.0	4408	tags=65%, list=22%, signal=83%	
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION		177	-0.3357039	-1.7196001	0.0	0.21965958	1.0	2608	tags=27%, list=13%, signal=30%	
GOBP_REGULATION_OF_SPINDLE_CHECKPOINT	GOBP_REGULATION_OF_SPINDLE_CHECKPOINT		24	-0.49827203	-1.71919	0.009118541	0.21227384	1.0	2608	tags=46%, list=13%, signal=53%	
GOBP_MITOCHONDRIAL_RNA_PROCESSING	GOBP_MITOCHONDRIAL_RNA_PROCESSING		20	-0.52373606	-1.7165873	0.005291005	0.20884217	1.0	4610	tags=50%, list=23%, signal=65%	
GOBP_METAPHASE_CHROMOSOME_ALIGNMENT	GOBP_METAPHASE_CHROMOSOME_ALIGNMENT		94	-0.36885983	-1.7165546	0.0	0.2019521	1.0	2943	tags=30%, list=15%, signal=35%	
GOBP_MALE_GENITALIA_DEVELOPMENT	GOBP_MALE_GENITALIA_DEVELOPMENT		20	-0.5259987	-1.7147981	0.01396648	0.19795743	1.0	1652	tags=30%, list=8%, signal=33%	
GOBP_TRNA_5_END_PROCESSING	GOBP_TRNA_5_END_PROCESSING		15	-0.5673611	-1.6945568	0.020356234	0.22262469	1.0	2226	tags=40%, list=11%, signal=45%	
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION		113	-0.345533	-1.6929336	0.0	0.21867971	1.0	4040	tags=39%, list=20%, signal=49%	
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE		29	-0.4735367	-1.6926234	0.005952381	0.21281874	1.0	925	tags=21%, list=5%, signal=22%	
GOBP_AEROBIC_RESPIRATION	GOBP_AEROBIC_RESPIRATION		188	-0.32218188	-1.6818814	0.0	0.22475784	1.0	1818	tags=14%, list=9%, signal=16%	
GOBP_MITOCHONDRIAL_TRANSLATION	GOBP_MITOCHONDRIAL_TRANSLATION		130	-0.33838767	-1.6745154	0.0	0.2309671	1.0	4610	tags=35%, list=23%, signal=46%	
GOBP_PYRIMIDINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	GOBP_PYRIMIDINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS		22	-0.48745736	-1.6664544	0.019886363	0.23873943	1.0	3653	tags=45%, list=18%, signal=56%	
GOBP_POTASSIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	GOBP_POTASSIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE		18	-0.5276121	-1.6560856	0.018087855	0.25068986	1.0	2346	tags=33%, list=12%, signal=38%	
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_TRANSLATION	GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_TRANSLATION		17	-0.5110657	-1.6426525	0.02077922	0.26922446	1.0	4610	tags=47%, list=23%, signal=61%	
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	GOBP_MITOCHONDRIAL_GENE_EXPRESSION		167	-0.32152063	-1.6318455	0.0	0.283695	1.0	4610	tags=34%, list=23%, signal=44%	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY		23	-0.48301482	-1.6222808	0.01179941	0.29595438	1.0	4878	tags=57%, list=25%, signal=75%	
GOBP_CELLULAR_METABOLIC_COMPOUND_SALVAGE	GOBP_CELLULAR_METABOLIC_COMPOUND_SALVAGE		36	-0.42956945	-1.6093004	0.0056818184	0.3164385	1.0	3271	tags=33%, list=17%, signal=40%	
GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE		23	-0.48497695	-1.6056218	0.027568921	0.31731826	1.0	2943	tags=52%, list=15%, signal=61%	
GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT	GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT		21	-0.4855045	-1.6006633	0.022284122	0.32122985	1.0	4016	tags=48%, list=20%, signal=60%	
GOBP_SPINDLE_ORGANIZATION	GOBP_SPINDLE_ORGANIZATION		188	-0.30377573	-1.6001191	0.0	0.3152206	1.0	2745	tags=23%, list=14%, signal=27%	
GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT	GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT		57	-0.37503725	-1.5941621	0.018126888	0.3217966	1.0	3341	tags=35%, list=17%, signal=42%	
GOBP_CENTROMERE_COMPLEX_ASSEMBLY	GOBP_CENTROMERE_COMPLEX_ASSEMBLY		27	-0.45649937	-1.5937188	0.02253521	0.31580505	1.0	2149	tags=30%, list=11%, signal=33%	
GOBP_PROTEIN_LOCALIZATION_TO_CONDENSED_CHROMOSOME	GOBP_PROTEIN_LOCALIZATION_TO_CONDENSED_CHROMOSOME		15	-0.51995	-1.5830401	0.043243244	0.33338267	1.0	4530	tags=47%, list=23%, signal=60%	
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS		156	-0.31568566	-1.5788767	0.004048583	0.3367787	1.0	2605	tags=23%, list=13%, signal=26%	
GOBP_REGULATION_OF_ANIMAL_ORGAN_FORMATION	GOBP_REGULATION_OF_ANIMAL_ORGAN_FORMATION		29	-0.42693692	-1.578472	0.026706232	0.33101618	1.0	1794	tags=31%, list=9%, signal=34%	
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION		45	-0.39239368	-1.5721726	0.014577259	0.33908567	1.0	2944	tags=36%, list=15%, signal=42%	
GOBP_HEME_BIOSYNTHETIC_PROCESS	GOBP_HEME_BIOSYNTHETIC_PROCESS		26	-0.44366473	-1.5601959	0.022284122	0.36059713	1.0	4064	tags=38%, list=21%, signal=48%	
