NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	GOBP_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	Details ...	82	0.6480754	2.4412687	0.0	0.0	0.0	5078	tags=68%, list=26%, signal=92%	
GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY	GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY	Details ...	183	0.59151435	2.3961904	0.0	0.0	0.0	5116	tags=63%, list=26%, signal=84%	
GOBP_SYNAPTIC_MEMBRANE_ADHESION	GOBP_SYNAPTIC_MEMBRANE_ADHESION	Details ...	39	0.7007945	2.371965	0.0	0.0	0.0	3203	tags=62%, list=16%, signal=73%	
GOBP_SYNAPSE_ASSEMBLY	GOBP_SYNAPSE_ASSEMBLY	Details ...	264	0.56946194	2.36395	0.0	0.0	0.0	5163	tags=59%, list=26%, signal=79%	
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	Details ...	282	0.5564176	2.3223383	0.0	0.0	0.0	5116	tags=59%, list=26%, signal=78%	
GOBP_ACTION_POTENTIAL	GOBP_ACTION_POTENTIAL	Details ...	173	0.56638736	2.2836328	0.0	0.0	0.0	4479	tags=58%, list=23%, signal=74%	
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	Details ...	200	0.5572256	2.2806132	0.0	0.0	0.0	6060	tags=69%, list=31%, signal=99%	
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	Details ...	362	0.5355579	2.2664845	0.0	0.0	0.0	5594	tags=57%, list=28%, signal=78%	
GOBP_NEUROTRANSMITTER_SECRETION	GOBP_NEUROTRANSMITTER_SECRETION	Details ...	173	0.55140346	2.2575252	0.0	0.0	0.0	4592	tags=58%, list=23%, signal=75%	
GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION	GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION	Details ...	40	0.6638694	2.2571282	0.0	0.0	0.0	4470	tags=68%, list=23%, signal=87%	
GOBP_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION	GOBP_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION	Details ...	64	0.61439043	2.2567456	0.0	0.0	0.0	5526	tags=69%, list=28%, signal=95%	
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	Details ...	99	0.5887244	2.2542179	0.0	0.0	0.0	4479	tags=64%, list=23%, signal=82%	
GOBP_MAINTENANCE_OF_SYNAPSE_STRUCTURE	GOBP_MAINTENANCE_OF_SYNAPSE_STRUCTURE	Details ...	33	0.6857534	2.250594	0.0	0.0	0.0	4132	tags=70%, list=21%, signal=88%	
GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	Details ...	129	0.5726128	2.242293	0.0	0.0	0.0	5078	tags=60%, list=26%, signal=80%	
GOBP_MUSCLE_CONTRACTION	GOBP_MUSCLE_CONTRACTION	Details ...	302	0.53225446	2.2294083	0.0	0.0	0.0	4479	tags=54%, list=23%, signal=68%	
GOBP_POSTSYNAPTIC_DENSITY_ORGANIZATION	GOBP_POSTSYNAPTIC_DENSITY_ORGANIZATION	Details ...	51	0.6353252	2.2279859	0.0	0.0	0.0	5526	tags=73%, list=28%, signal=100%	
GOBP_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT	GOBP_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT	Details ...	185	0.5401184	2.2170346	0.0	0.0	0.0	4149	tags=54%, list=21%, signal=68%	
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	Details ...	126	0.55692625	2.2162373	0.0	0.0	0.0	4537	tags=57%, list=23%, signal=74%	
GOBP_REGULATION_OF_MUSCLE_CONTRACTION	GOBP_REGULATION_OF_MUSCLE_CONTRACTION	Details ...	157	0.54756695	2.2134666	0.0	0.0	0.0	4467	tags=54%, list=23%, signal=69%	
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	Details ...	123	0.5619678	2.2099395	0.0	0.0	0.0	6164	tags=65%, list=31%, signal=94%	
GOBP_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	GOBP_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL		29	0.6867744	2.2090054	0.0	0.0	0.0	4063	tags=76%, list=21%, signal=95%	
GOBP_NEUROMUSCULAR_PROCESS_CONTROLLING_BALANCE	GOBP_NEUROMUSCULAR_PROCESS_CONTROLLING_BALANCE		67	0.6005778	2.208225	0.0	0.0	0.0	4497	tags=60%, list=23%, signal=77%	
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT		125	0.5530641	2.2019248	0.0	4.095708E-5	0.001	4506	tags=58%, list=23%, signal=74%	
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC		83	0.5862031	2.2018037	0.0	3.925053E-5	0.001	6164	tags=69%, list=31%, signal=99%	
GOBP_PRESYNAPSE_ORGANIZATION	GOBP_PRESYNAPSE_ORGANIZATION		60	0.60274345	2.2011297	0.0	3.768051E-5	0.001	4555	tags=58%, list=23%, signal=76%	
GOBP_RESPONSE_TO_AMYLOID_BETA	GOBP_RESPONSE_TO_AMYLOID_BETA		38	0.65239316	2.198085	0.0	3.623126E-5	0.001	5212	tags=66%, list=26%, signal=89%	
GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS	GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS		114	0.5594982	2.197074	0.0	3.4889363E-5	0.001	4555	tags=58%, list=23%, signal=75%	
GOBP_EXCITATORY_POSTSYNAPTIC_POTENTIAL	GOBP_EXCITATORY_POSTSYNAPTIC_POTENTIAL		90	0.578404	2.1926403	0.0	3.3643315E-5	0.001	4443	tags=58%, list=22%, signal=74%	
