NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NEGATIVE_REGULATION_OF_EXOCYTOSIS	GOBP_NEGATIVE_REGULATION_OF_EXOCYTOSIS	Details ...	35	0.59283113	2.058579	0.0	0.118917055	0.096	3177	tags=43%, list=16%, signal=51%	
GOBP_PROTEIN_FOLDING	GOBP_PROTEIN_FOLDING	Details ...	164	0.45596594	2.0421824	0.0	0.07857915	0.126	4662	tags=43%, list=24%, signal=55%	
GOBP_STRESS_GRANULE_ASSEMBLY	GOBP_STRESS_GRANULE_ASSEMBLY	Details ...	35	0.58744645	2.0343378	0.0	0.06360785	0.151	4756	tags=51%, list=24%, signal=68%	
GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	Details ...	104	0.47787264	2.030973	0.0	0.050242353	0.16	5161	tags=52%, list=26%, signal=70%	
GOBP_RNA_LOCALIZATION	GOBP_RNA_LOCALIZATION	Details ...	166	0.44549322	2.0212429	0.0	0.047153324	0.186	5910	tags=49%, list=30%, signal=70%	
GOBP_NUCLEUS_ORGANIZATION	GOBP_NUCLEUS_ORGANIZATION	Details ...	133	0.45459807	2.0173042	0.0	0.04135318	0.194	5885	tags=50%, list=30%, signal=70%	
GOBP_IMPORT_INTO_NUCLEUS	GOBP_IMPORT_INTO_NUCLEUS	Details ...	184	0.43496895	2.0039783	0.0	0.04265262	0.233	4231	tags=41%, list=21%, signal=51%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	424	0.40138093	1.997634	0.0	0.040401496	0.247	5513	tags=40%, list=28%, signal=54%	
GOBP_NUCLEAR_PORE_ORGANIZATION	GOBP_NUCLEAR_PORE_ORGANIZATION	Details ...	15	0.70431656	1.9801807	0.0	0.047627058	0.312	5734	tags=93%, list=29%, signal=131%	
GOBP_VENTRICULAR_SEPTUM_MORPHOGENESIS	GOBP_VENTRICULAR_SEPTUM_MORPHOGENESIS	Details ...	45	0.5333113	1.9659463	0.0	0.050176136	0.353	5641	tags=60%, list=29%, signal=84%	
