NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NEUROTROPHIN_SIGNALING_PATHWAY	GOBP_NEUROTROPHIN_SIGNALING_PATHWAY	Details ...	43	0.61485916	2.498227	0.0	0.0021674526	0.001	4035	tags=53%, list=20%, signal=67%	
GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION	GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION	Details ...	36	0.60158354	2.3251355	0.0	0.01784661	0.017	2737	tags=39%, list=14%, signal=45%	
GOBP_RESPONSE_TO_NERVE_GROWTH_FACTOR	GOBP_RESPONSE_TO_NERVE_GROWTH_FACTOR	Details ...	42	0.56536394	2.292309	0.0	0.015417943	0.022	4035	tags=52%, list=20%, signal=66%	
GOBP_PROTEIN_REFOLDING	GOBP_PROTEIN_REFOLDING	Details ...	24	0.6526959	2.2889395	0.0	0.012095696	0.023	3367	tags=71%, list=17%, signal=85%	
GOBP_MONOCYTE_CHEMOTAXIS	GOBP_MONOCYTE_CHEMOTAXIS	Details ...	36	0.5839009	2.2566783	0.0	0.013454299	0.032	3305	tags=42%, list=17%, signal=50%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION	GOBP_POSITIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION	Details ...	42	0.5493228	2.226706	0.0	0.0146746375	0.042	5739	tags=62%, list=29%, signal=87%	
GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY	GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY	Details ...	29	0.6085306	2.2150936	0.0	0.014078083	0.047	2737	tags=41%, list=14%, signal=48%	
GOBP_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION	GOBP_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION	Details ...	50	0.53858006	2.2057123	0.0	0.013619023	0.052	2889	tags=36%, list=15%, signal=42%	
GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	Details ...	98	0.45512202	2.1767807	0.0	0.016794141	0.07	5901	tags=52%, list=30%, signal=74%	
GOBP_POSITIVE_REGULATION_OF_DEPHOSPHORYLATION	GOBP_POSITIVE_REGULATION_OF_DEPHOSPHORYLATION	Details ...	54	0.5052093	2.1739056	0.0	0.015969334	0.074	5958	tags=61%, list=30%, signal=87%	
GOBP_COLLAGEN_FIBRIL_ORGANIZATION	GOBP_COLLAGEN_FIBRIL_ORGANIZATION	Details ...	64	0.48657027	2.161941	0.0	0.016441489	0.083	4086	tags=55%, list=21%, signal=69%	
GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS	GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS	Details ...	27	0.60491025	2.1619341	0.0	0.015071366	0.083	3870	tags=44%, list=20%, signal=55%	
GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	Details ...	350	0.37515995	2.161841	0.0	0.01391203	0.083	4661	tags=45%, list=24%, signal=57%	
GOBP_RESPONSE_TO_BMP	GOBP_RESPONSE_TO_BMP	Details ...	155	0.41369903	2.1577985	0.0	0.013222178	0.085	4661	tags=47%, list=24%, signal=61%	
GOBP_REGULATION_OF_INCLUSION_BODY_ASSEMBLY	GOBP_REGULATION_OF_INCLUSION_BODY_ASSEMBLY	Details ...	17	0.6799564	2.1577287	0.0	0.012340699	0.085	4287	tags=71%, list=22%, signal=90%	
GOBP_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY	GOBP_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY	Details ...	33	0.5669741	2.144366	0.0	0.01301563	0.094	3518	tags=42%, list=18%, signal=52%	
