Genus_Level	G1_1.d0	G1_1.ep	G1_10.d0	G1_10.ep	G1_11.d0	G1_11.ep	G1_12.d0	G1_12.ep	G1_2.d0	G1_2.ep	G1_4.d0	G1_4.ep	G1_6.d0	G1_6.ep	G1_8.d0	G1_8.ep	G2_1.d0	G2_1.ep	G2_11.d0	G2_11.ep	G2_12.d0	G2_12.ep	G2_3.d0	G2_3.ep	G2_4.d0	G2_4.ep	G2_6.d0	G2_6.ep	G2_7.d0	G2_7.ep	G2_8.d0	G2_8.ep	G3_1.d0	G3_1.ep	G3_10.d0	G3_10.ep	G3_11.d0	G3_11.ep	G3_12.d0	G3_12.ep	G3_2.d0	G3_2.ep	G3_3.d0	G3_3.ep	G3_7.d0	G3_7.ep	G3_9.d0	G3_9.ep	G4_1.d0	G4_1.ep	G4_10.d0	G4_10.ep	G4_11.d0	G4_11.ep	G4_12.d0	G4_12.ep	G4_4.d0	G4_4.ep	G4_5.d0	G4_5.ep	G4_6.d0	G4_6.ep	G4_7.d0	G4_7.ep	G5_1.d0	G5_1.ep	G5_10.d0	G5_10.ep	G5_12.d0	G5_12.ep	G5_2.d0	G5_2.ep	G5_4.d0	G5_4.ep	G5_6.d0	G5_6.ep	G5_8.d0	G5_8.ep	G5_9.d0	G5_9.ep	G6_1.d0	G6_1.ep	G6_11.d0	G6_11.ep	G6_12.d0	G6_12.ep	G6_3.d0	G6_3.ep	G6_4.d0	G6_4.ep	G6_6.d0	G6_6.ep	G6_8.d0	G6_8.ep	G6_9.d0	G6_9.ep
Unassigned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	376.0	0.0	1132.0	74.0	392.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	121.0	0.0	58.0	0.0	85.0	0.0	386.0	0.0	0.0	0.0	443.0	0.0	1044.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.0	17.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter	16.0	33.0	0.0	25.0	26.0	46.0	9.0	0.0	17.0	18.0	17.0	29.0	23.0	13.0	38.0	30.0	20.0	35.0	27.0	22.0	14.0	42.0	19.0	38.0	32.0	31.0	23.0	56.0	0.0	5.0	10.0	12.0	15.0	0.0	13.0	39.0	30.0	0.0	13.0	0.0	30.0	0.0	19.0	12.0	14.0	21.0	15.0	8.0	26.0	0.0	8.0	11.0	13.0	16.0	16.0	8.0	22.0	15.0	11.0	0.0	21.0	15.0	17.0	7.0	43.0	10.0	20.0	14.0	33.0	17.0	20.0	0.0	21.0	14.0	31.0	16.0	24.0	27.0	0.0	15.0	0.0	16.0	30.0	49.0	30.0	16.0	8.0	17.0	39.0	14.0	28.0	7.0	34.0	40.0	25.0	0.0
d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	104.0	118.0	0.0	113.0	122.0	99.0	26.0	0.0	118.0	96.0	74.0	116.0	0.0	120.0	125.0	148.0	134.0	0.0	88.0	69.0	62.0	87.0	136.0	192.0	129.0	228.0	101.0	227.0	11.0	20.0	21.0	0.0	66.0	29.0	107.0	277.0	146.0	58.0	62.0	35.0	119.0	48.0	44.0	44.0	0.0	49.0	0.0	40.0	44.0	2856.0	0.0	4748.0	50.0	6245.0	75.0	8424.0	61.0	8419.0	83.0	34960.0	130.0	19464.0	48.0	6791.0	78.0	368.0	80.0	44.0	107.0	88.0	91.0	37.0	60.0	185.0	69.0	1085.0	102.0	30340.0	82.0	0.0	0.0	61.0	112.0	69.0	80.0	76.0	96.0	77.0	113.0	77.0	118.0	0.0	164.0	0.0	106.0	0.0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	10.0	0.0	0.0	0.0	17.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Rhodococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Kineosporiales; f__Kineosporiaceae; g__Kineococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
