Sample Name Full,% GC,? 30X,Coverage,% Aligned,M Aligned,Error rate,% Assigned,M Assigned,aligned,Sample Name
A1-i13_S7.sort,,,,95.30%,24.5,0.02%,59.90%,18,0.953,A1-i13_S7
A1-i13_S7_BAMqc,49%,0.30%,0.0X,,,,,,0,A1-i13_S7_
A10-i23_S11.sort,,,,91.60%,25.4,0.02%,55.70%,18.4,0.916,A10-i23_S11
A10-i23_S11_BAMqc,48%,0.30%,0.0X,,,,,,0,A10-i23_S11_
A11-i25_S5.sort,,,,92.00%,21.2,0.03%,55.20%,15.2,0.92,A11-i25_S5
A11-i25_S5_BAMqc,48%,0.30%,0.0X,,,,,,0,A11-i25_S5_
A12-i27_S10.sort,,,,94.90%,24.6,0.03%,57.80%,17.9,0.949,A12-i27_S10
A12-i27_S10_BAMqc,49%,0.30%,0.0X,,,,,,0,A12-i27_S10_
A13-i7_S8.sort,,,,95.20%,23.7,0.02%,60.30%,17.4,0.952,A13-i7_S8
A13-i7_S8_BAMqc,49%,0.30%,0.0X,,,,,,0,A13-i7_S8_
A14-i8_S4.sort,,,,92.20%,27.5,0.03%,59.50%,20.3,0.922,A14-i8_S4
A14-i8_S4_BAMqc,49%,0.40%,0.0X,,,,,,0,A14-i8_S4_
A15-i9_S3.sort,,,,94.40%,19.4,0.03%,60.20%,14.1,0.944,A15-i9_S3
A15-i9_S3_BAMqc,49%,0.30%,0.0X,,,,,,0,A15-i9_S3_
A16-i10_S15.sort,,,,90.00%,20,0.04%,45.40%,12.6,0.9,A16-i10_S15
A16-i10_S15_BAMqc,49%,0.20%,0.0X,,,,,,0,A16-i10_S15_
A17-i11_S13.sort,,,,94.60%,20.5,0.04%,55.10%,14,0.946,A17-i11_S13
A17-i11_S13_BAMqc,48%,0.30%,0.0X,,,,,,0,A17-i11_S13_
A18-i12_S12.sort,,,,94.60%,21,0.03%,53.10%,14.1,0.946,A18-i12_S12
A18-i12_S12_BAMqc,48%,0.30%,0.0X,,,,,,0,A18-i12_S12_
A2-i14_S1.sort,,,,94.90%,22.3,0.03%,57.80%,15.6,0.949,A2-i14_S1
A2-i14_S1_BAMqc,49%,0.30%,0.0X,,,,,,0,A2-i14_S1_
A3-i15_S6.sort,,,,92.00%,16.1,0.03%,56.90%,11.5,0.92,A3-i15_S6
A3-i15_S6_BAMqc,49%,0.20%,0.0X,,,,,,0,A3-i15_S6_
A4-i16_S2.sort,,,,93.20%,16.5,0.03%,55.30%,11.4,0.932,A4-i16_S2
