# Constructed from biom file
#OTU ID	A12	A2	A3	A6	A7	C10	C10-MUCUS	C11	C14	C17	C18	C3	C3-MUCUS	M13	M14	M18	N10	N11	N12	N7	V14	V16	V17	X4	X5	X7
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;g__Escherichia_710834;__	0.0	7714.0	0.0	0.0	6.0	13.0	0.0	24.0	0.0	0.0	0.0	6.0	0.0	0.0	6.0	8.0	0.0	11.0	0.0	0.0	9383.0	35955.0	7171.0	20.0	6054.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_B_862066;s__Parabacteroides_B_862066 distasonis	0.0	0.0	0.0	8.0	0.0	8.0	7.0	11.0	4.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	10.0	0.0	0.0	22189.0	65783.0	3915.0	12.0	5954.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592524;f__Burkholderiaceae_A_580492;g__Burkholderia;__	0.0	0.0	38.0	22561.0	23.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	6.0	0.0	0.0	55161.0	69.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H;s__Bacteroides_H intestinalis	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	8385.0	24875.0	7525.0	18.0	8049.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp902776665	876.0	2915.0	9.0	73.0	17.0	2369.0	13.0	7000.0	7381.0	2224.0	208.0	77.0	35.0	933.0	466.0	1342.0	402.0	1046.0	426.0	129.0	51.0	93.0	7.0	198.0	11159.0	3.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_B_862066;s__Parabacteroides_B_862066 goldsteinii	1883.0	0.0	0.0	0.0	0.0	4.0	0.0	33.0	3.0	0.0	0.0	3.0	62.0	1158.0	1133.0	3082.0	0.0	1500.0	548.0	23.0	66.0	11.0	509.0	0.0	10082.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H;__	0.0	67.0	20.0	18.0	0.0	0.0	24.0	29.0	51.0	66.0	8.0	0.0	0.0	24.0	0.0	25.0	0.0	13.0	0.0	22.0	111.0	173.0	2862.0	14.0	17021.0	9.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002493045	78.0	1414.0	0.0	31.0	10.0	1159.0	38.0	3382.0	1712.0	5219.0	1255.0	691.0	0.0	130.0	3335.0	714.0	4898.0	2099.0	362.0	4889.0	17.0	181.0	6.0	51.0	3337.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella dubosii	63.0	829.0	15.0	13.0	0.0	277.0	0.0	1012.0	960.0	5965.0	620.0	602.0	0.0	109.0	840.0	241.0	1263.0	538.0	207.0	1985.0	18.0	243.0	5.0	12.0	1323.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__	48.0	0.0	6632.0	0.0	31386.0	7.0	5.0	59.0	59.0	66.0	18.0	0.0	0.0	44.0	21.0	88.0	10.0	68.0	33.0	5.0	385.0	1093.0	129.0	41.0	690.0	0.0
