Sample Name,% Aligned,M Aligned,% Trimmed,% Dups,% GC,Length,% Failed,M Seqs
S1,85.30%,11.4,1.20%,35.60%,49%,73 bp,9%,13.4
S10,85.60%,11.7,1.30%,36.00%,50%,73 bp,9%,13.7
S11,85.70%,11.9,1.20%,36.00%,49%,73 bp,9%,13.8
S12,83.10%,12.2,1.20%,34.90%,49%,73 bp,9%,14.7
S13,84.70%,13.5,1.30%,37.70%,49%,73 bp,9%,16
S14,85.00%,12.8,1.20%,37.60%,49%,73 bp,9%,15
S15,84.90%,12.3,1.20%,37.20%,49%,73 bp,9%,14.5
S16,85.30%,11.2,1.20%,35.70%,49%,73 bp,9%,13.1
S17,86.20%,12.2,3.60%,38.80%,49%,73 bp,9%,14.1
S18,86.30%,13.1,2.90%,38.20%,49%,73 bp,9%,15.2
S19,85.80%,13.6,2.60%,39.00%,49%,73 bp,9%,15.8
S2,85.40%,13.4,1.20%,37.50%,49%,73 bp,9%,15.6
S20,85.70%,13.6,3.20%,39.20%,49%,73 bp,9%,15.9
S21,85.70%,12.8,3.00%,38.20%,49%,73 bp,9%,14.9
S22,84.30%,12.7,3.20%,36.80%,49%,73 bp,9%,15.1
S23,85.20%,13.6,3.00%,37.10%,49%,73 bp,9%,16
S24,83.80%,10.3,6.20%,32.80%,48%,73 bp,9%,12.3
S25,85.00%,11.8,4.90%,38.10%,48%,73 bp,9%,13.9
S26,84.40%,11.5,3.10%,34.00%,48%,73 bp,9%,13.6
S27,84.00%,11.8,3.40%,35.40%,48%,73 bp,9%,14
S28,84.70%,11.9,3.50%,36.40%,49%,73 bp,9%,14
S29,84.10%,12.3,4.10%,37.40%,48%,73 bp,9%,14.6
S3,85.20%,11.5,1.30%,34.10%,50%,73 bp,9%,13.5
S30,83.30%,11,3.90%,33.70%,48%,73 bp,9%,13.2
S31,85.60%,12.2,2.70%,36.90%,49%,73 bp,9%,14.3
S32,82.40%,10.1,4.60%,34.20%,49%,73 bp,9%,12.2
S4,84.20%,12.7,1.30%,35.80%,50%,73 bp,9%,15.1
S5,85.60%,12.1,1.20%,36.00%,50%,73 bp,9%,14.1
S6,83.40%,11.1,1.40%,34.10%,49%,73 bp,9%,13.4
S7,87.00%,12.4,1.30%,37.50%,49%,73 bp,9%,14.3
S8,85.90%,12,1.20%,36.90%,50%,73 bp,9%,14
S9,86.40%,11.8,1.20%,37.50%,50%,73 bp,9%,13.6
