Sample Name,% Aligned,M Aligned,aligned
BigAbx20200908_C1,82.70%,21.5,0.83
BigAbx20200908_C15,77.10%,21.9,0.77
BigAbx20200908_C17,81.60%,24.4,0.82
BigAbx20200908_C18,75.90%,22.2,0.76
BigAbx20200908_C2,82.20%,17.7,0.82
BigAbx20200908_C3,77.60%,23.8,0.78
BigAbx20200908_C7,78.80%,22.2,0.79
BigAbx20200908_C8,86.20%,23.4,0.86
BigAbx20200908_C9,53.50%,4.8,0.54
BigAbx20200908_V1,82.00%,24.4,0.82
BigAbx20200908_V13,86.80%,26.1,0.87
BigAbx20200908_V14,19.20%,7.1,0.19
BigAbx20200908_V15,74.50%,16.4,0.75
BigAbx20200908_V4,80.50%,21.1,0.81
BigAbx20200908_V5,81.80%,24.2,0.82
BigAbx20200908_V7,81.00%,20.6,0.81
BigAbx20200908_V8,76.10%,18.5,0.76
BigAbx20200908_V9,83.00%,25.2,0.83
