Antibiotics	Condition	GO term	name	genes	gene names	GO significance	correlation	correlation_pbs	corrlation_abx	distance	"""log(distance)"""	mean variance between samples	distance_all	distance_pbs	mean variance between samples all mice	mean variance between samples pbs	size	p-value correlation	random correlation	std correlation	median t-test p-value	t-test less than 5%	normalized fold change	median zscore diff	enhanced?	relative size	MWU	MWU less than 5%	fdr GO significance	fdr correlation	fdr median t-test
Amp	IP	GO:0006414_enh	['metabolic process', 'cellular process']:translational elongation	['ENSMUSG00000042535', 'ENSMUSG00000035064']	['Gtpbp1', 'Eef2k']	0.6071699593936344	0.9393939393939394	0.4	0.9428571428571428	1.33350735839672	-0.007227720259046934	2.6754451235959436	0.9950026545681304	0.4872455988252465	6.474803120403827	0.75	2	0.0013999999999999568	0.16626275334461746	0.39268074771228173	0.0020712314954156536	True	4.052581868128289	4.154695133355502	True	0.09090909090909091	0.013468700594029482	True	0.735395568558626		
Amp	IP	GO:0006412_enh	['metabolic process', 'cellular process']:translation	['ENSMUSG00000095724', 'ENSMUSG00000003299', 'ENSMUSG00000056228', 'ENSMUSG00000023723']	['Eif1ad19', 'Mrpl4', 'Cars2', 'Mrps23']	0.9991668407527038	0.4404040404040404	-0.20000000000000004	2.7755575615628914e-17	0.5995007745721143	-0.625796513799801	0.3455094784667215	0.6480618827331182	0.7209035449746237	1.0957565176957416	0.75	4	0.0972027027027027	0.16641460754052445	0.19563612367047548	0.001180650484983157	True	1.4441552225339631	1.5621644800912544	True	0.014492753623188406	0.03923365988394509	True	0.9999999998506626		
Amp	IP	GO:0006412_supp	['metabolic process', 'cellular process']:translation	['ENSMUSG00000024079', 'ENSMUSG00000058558', 'ENSMUSG00000057561', 'ENSMUSG00000074656', 'ENSMUSG00000031167', 'ENSMUSG00000029173', 'ENSMUSG00000038838', 'ENSMUSG00000063316']	['Eif2ak2', 'Rpl5', 'Eif1a', 'Eif2s2', 'Rbm3', 'Sepsecs', 'Vars2', 'Rpl27']	0.9991668407527038	0.5086580086580087	0.021428571428571415	0.15306122448979592	2.1479811121722876	0.6889817276046074	3.338783053873122	1.612145244296574	0.8083914424830035	4.426059198889828	0.75	8	0.0047842943985076936	0.16408579636270468	0.1095266109269597	0.0023308803329258566	True	-2.278306064969148	-1.8215783838914263	False	0.028985507246376812	0.039412420367470266	True	0.9999999998506626		
Amp	IP	GO:1902600_enh	['localization', 'cellular process']:proton transmembrane transport	['ENSMUSG00000019087', 'ENSMUSG00000039347', 'ENSMUSG00000029416']	['Atp6ap1', 'Atp6v0e2', 'Slc15a4']	0.947157290587695	0.6282828282828283	0.06666666666666665	0.12380952380952383	1.7520320091352828	0.3820984716779407	4.548053926046321	1.3032360991844507	0.6300422342582025	6.059745530221381	0.75	3	0.03300000000000003	0.16573396971874607	0.2532872361967879	0.0018596226206301684	True	3.6123188347264303	2.917250360240162	True	0.023809523809523808	0.019047619047619046	True	0.9682540655056576		
Amp	IP	GO:1902600_supp	['localization', 'cellular process']:proton transmembrane transport	['ENSMUSG00000065947', 'ENSMUSG00000038600', 'ENSMUSG00000064356', 'ENSMUSG00000036330']	['mt-Nd4l', 'Atp6v0a4', 'mt-Atp8', 'Slc18a1']	0.947157290587695	0.5035416846019115	0.10000000000000003	-0.02172873174439492	1.9079546698849927	0.4525594435720818	2.2972267050922537	1.3684658602499349	0.5592326457973479	3.69306967225683	0.75	4	0.05287768100146217	0.16444983824672588	0.18900828860073846	0.00418280028888167	True	-2.249400751092456	-1.734160193333904	False	0.031746031746031744	0.04732493232447296	True	0.9682540655056576		
Amp	IP	GO:0009060_enh	['metabolic process', 'cellular process']:aerobic respiration	['ENSMUSG00000029020', 'ENSMUSG00000025486']	['Mfn2', 'Sirt3']	0.9013818406692697	0.6484848484848484	0.2	-0.42857142857142855	0.7464149524262659	-0.7775357077445351	1.03659262782242	0.5833623940467018	0.3387835564773555	3.483943549162034	0.7500000000000001	2	0.1091571817233935	0.16626275334461746	0.39268074771228173	0.0001847411711354407	True	3.3823819154583568	3.2619381831771785	True	0.03508771929824561	0.009523809523809526	True	0.9327121629846882		
Amp	IP	GO:0001666_enh	response to stimulus:response to hypoxia	['ENSMUSG00000026641', 'ENSMUSG00000032402', 'ENSMUSG00000032485', 'ENSMUSG00000059456', 'ENSMUSG00000019055', 'ENSMUSG00000030790', 'ENSMUSG00000058709', 'ENSMUSG00000025239', 'ENSMUSG00000042650', 'ENSMUSG00000031987', 'ENSMUSG00000000441', 'ENSMUSG00000031393']	['Usf1', 'Smad3', 'Scap', 'Ptk2b', 'Plod1', 'Adm', 'Egln2', 'Limd1', 'Alkbh5', 'Egln1', 'Raf1', 'Mecp2']	0.47309913510176527	0.6567493112947658	-0.05757575757575757	0.04935064935064934	2.1587924524394864	0.7062189288596573	2.388835087715807	1.631522551313188	0.8406176996237408	5.0075914606964815	0.75	12	0.0004911591355599214	0.16468984978789716	0.08956335181040669	8.872696735813746e-05	True	3.0618593657258866	2.7123885353388846	True	0.06282722513089005	0.015118105256839992	True	0.6358983493771745		
Amp	IP	GO:0001666_supp	response to stimulus:response to hypoxia	['ENSMUSG00000028463', 'ENSMUSG00000005413', 'ENSMUSG00000025888', 'ENSMUSG00000020952', 'ENSMUSG00000040584', 'ENSMUSG00000006362']	['Car9', 'Hmox1', 'Casp1', 'Scfd1', 'Abcb1a', 'Cbfa2t3']	0.47309913510176527	0.6088888888888888	0.18666666666666665	0.03999999999999999	2.1370925150107385	0.6511375213870003	3.48192178483894	1.5704059253283684	0.7203760408048137	4.816507650427575	0.75	6	0.004219049006008557	0.16463468520071223	0.13701076099870893	0.0013593283955020117	True	-2.6784182999044646	-2.1430198128917457	False	0.031413612565445025	0.0234703034128315	True	0.6358983493771745		
Amp	IP	GO:0009410_enh	response to stimulus:response to xenobiotic stimulus	['ENSMUSG00000001323', 'ENSMUSG00000028967', 'ENSMUSG00000044328', 'ENSMUSG00000024927', 'ENSMUSG00000022285', 'ENSMUSG00000059456', 'ENSMUSG00000057667', 'ENSMUSG00000020178', 'ENSMUSG00000001507', 'ENSMUSG00000000149', 'ENSMUSG00000036737', 'ENSMUSG00000030094', 'ENSMUSG00000037049', 'ENSMUSG00000003545', 'ENSMUSG00000047407', 'ENSMUSG00000048756', 'ENSMUSG00000048920', 'ENSMUSG00000019960']	['Srr', 'Errfi1', 'Trp53i13', 'Rela', 'Ywhaz', 'Ptk2b', 'Bloc1s3', 'Adora2a', 'Itga3', 'Gna12', 'Oxsr1', 'Xpc', 'Smpd1', 'Fosb', 'Tgif1', 'Foxo3', 'Fkrp', 'Dusp6']	0.3961311457101311	0.5918399683105565	-0.048366013071895426	0.09243697478991596	2.7128233072166075	0.9748352278494082	3.988568652797036	1.96541671137224	0.8443068176056907	5.911770386275162	0.75	18	0.0004911591355599214	0.16384299360038318	0.06933730794430748	2.2797302974677494e-05	True	3.1150384288207764	2.5206636318994744	True	0.06451612903225806	0.022927457032904802	True	0.5934288391294027		
Amp	IP	GO:0009410_supp	response to stimulus:response to xenobiotic stimulus	['ENSMUSG00000028463', 'ENSMUSG00000040584', 'ENSMUSG00000019842', 'ENSMUSG00000041301', 'ENSMUSG00000029706', 'ENSMUSG00000025888', 'ENSMUSG00000031173', 'ENSMUSG00000029482', 'ENSMUSG00000003849']	['Car9', 'Abcb1a', 'Traf3ip2', 'Cftr', 'Pax4', 'Casp1', 'Otc', 'Aacs', 'Nqo1']	0.3961311457101311	0.5966329966329966	0.14444444444444446	0.049206349206349205	1.506891949983098	0.26809332451542855	1.611769382547648	1.20421527653788	0.7502002663700529	3.2809801255279343	0.75	9	0.0004911591355599214	0.1660353157878779	0.10224816450149564	0.0005410057902798467	True	-2.736266703423865	-2.5521438202617626	False	0.03225806451612903	0.023243522588053536	True	0.5934288391294027		
