Antibiotics	Condition	GO term	name	genes	gene names	GO significance	correlation	correlation_pbs	corrlation_abx	distance	"""log(distance)"""	mean variance between samples	distance_all	distance_pbs	mean variance between samples all mice	mean variance between samples pbs	size	p-value correlation	random correlation	std correlation	median t-test p-value	t-test less than 5%	normalized fold change	median zscore diff	enhanced?	relative size	MWU	MWU less than 5%	fdr GO significance	fdr correlation	fdr median t-test
Amp	IV	GO:0006414_enh	['metabolic process', 'cellular process']:translational elongation	['ENSMUSG00000042535', 'ENSMUSG00000035064']	['Gtpbp1', 'Eef2k']	0.3978394100127931	0.6181818181818182	-0.2	0.2571428571428571	0.6545014120952429	-0.7320359845949037	1.4038255437712202	0.6020536736321245	0.5391163874763821	2.1125294558291676	0.8	2	0.13626363636363636	0.08892576529334975	0.44461799281159514	0.0040679671311953354	True	2.021160378855794	1.9774527823915438	True	0.09090909090909091	0.029992221776084446	True	0.6180546552145216		
Amp	IV	GO:0006412_enh	['metabolic process', 'cellular process']:translation	['ENSMUSG00000062203', 'ENSMUSG00000029388', 'ENSMUSG00000003299', 'ENSMUSG00000029145', 'ENSMUSG00000004233', 'ENSMUSG00000029536', 'ENSMUSG00000029486', 'ENSMUSG00000004561']	['Gspt1', 'Eif2b1', 'Mrpl4', 'Eif2b4', 'Wars2', 'Gatc', 'Mrpl1', 'Mettl17']	0.9579257804266345	0.4506493506493507	-0.075	0.10612244897959186	1.2369091488986188	0.08544713673938835	0.9082337014604094	1.061016532934236	0.8499453937769769	2.092388783573686	0.8	8	0.006243852389711146	0.0850864916429787	0.10279650448057268	5.579486158318252e-05	True	2.16006307040382	1.9364647664746781	True	0.028985507246376812	0.03563998282318359	True	0.9977742427445451		
Amp	IV	GO:0006412_supp	['metabolic process', 'cellular process']:translation	['ENSMUSG00000070699', 'ENSMUSG00000026083', 'ENSMUSG00000028898']	['Sars2', 'Eif5b', 'Trnau1ap']	0.9579257804266345	0.6212121212121212	-0.2333333333333333	0.6571428571428571	0.91413701039729	-0.2784015902917982	1.8062734062197852	0.8245040067567942	0.7169444023881993	2.217022501236919	0.8000000000000002	3	0.029000000000000026	0.10909610853922852	0.24889245372884572	0.019414812098383038	True	-1.7928404381264447	-1.299720681543338	False	0.010869565217391304	0.09119287785599893	False	0.9977742427445451		
Amp	IV	GO:0009060_enh	['metabolic process', 'cellular process']:aerobic respiration	['ENSMUSG00000029020', 'ENSMUSG00000022407']	['Mfn2', 'Adsl']	0.8748437916235188	0.2818181818181818	0.1	-0.3142857142857143	2.664563915555741	0.766709613470275	8.83756005436159	1.7013849687511693	0.5455702325856828	9.253148038627996	0.8	2	0.3571428571428571	0.08892576529334975	0.44461799281159514	0.01080022525840787	True	3.93960082221166	3.514122126199837	True	0.03508771929824561	0.08225108225108226	False	0.947561935456517		
Amp	IV	GO:0001666_enh	response to stimulus:response to hypoxia	['ENSMUSG00000003031', 'ENSMUSG00000055024', 'ENSMUSG00000022407', 'ENSMUSG00000037369', 'ENSMUSG00000039910']	['Cdkn1b', 'Ep300', 'Adsl', 'Kdm6a', 'Cited2']	0.9545370171474123	0.42727272727272725	-0.21000000000000002	0.3142857142857142	2.4448765545450546	0.7722903917565239	4.9938964437765545	1.7079791834553057	0.8237023381476067	5.692451736215991	0.8	5	0.03520000000000001	0.08732419419055855	0.1566675996802126	0.0007628047939154016	True	3.3622645108519906	1.9495399187986624	True	0.02617801047120419	0.0457150802195647	True	0.9966833776755891		
Amp	IV	GO:0001666_supp	response to stimulus:response to hypoxia	['ENSMUSG00000005413', 'ENSMUSG00000035385']	['Hmox1', 'Ccl2']	0.9545370171474123	0.5909090909090909	0.6	-0.14285714285714285	0.5574438952133781	-1.313727592976277	0.7981979695197086	0.4022801360955901	0.21608362515424467	1.4967158174140216	0.8	2	0.13323333333333331	0.10651596112321184	0.40886648509200674	0.005418191758680514	True	-1.2232388728960044	-1.6758546473071998	False	0.010471204188481676	0.030303030303030304	True	0.9966833776755891		
Amp	IV	GO:0009410_enh	response to stimulus:response to xenobiotic stimulus	['ENSMUSG00000048482', 'ENSMUSG00000031314', 'ENSMUSG00000003031', 'ENSMUSG00000055024', 'ENSMUSG00000030094', 'ENSMUSG00000025026', 'ENSMUSG00000038845', 'ENSMUSG00000030516', 'ENSMUSG00000024588']	['Bdnf', 'Taf1', 'Cdkn1b', 'Ep300', 'Xpc', 'Add3', 'Phb', 'Tjp1', 'Fech']	0.6569390044424424	0.541919191919192	-0.01111111111111112	0.09841269841269841	1.2672887632896466	0.10482081829848916	1.1785989405263078	1.0753608231110394	0.8450472948967109	2.4590215602248295	0.8	9	0.0006223856235654246	0.08431598144837155	0.09142826013632813	0.0004985866857676232	True	2.307950759898192	1.9976754104571663	True	0.03225806451612903	0.02042994716936965	True	0.8169532923927104		
Amp	IV	GO:0009410_supp	response to stimulus:response to xenobiotic stimulus	['ENSMUSG00000021944', 'ENSMUSG00000000301', 'ENSMUSG00000042417', 'ENSMUSG00000016529', 'ENSMUSG00000035385', 'ENSMUSG00000021575', 'ENSMUSG00000029482']	['Gata4', 'Pemt', 'Ccno', 'Il10', 'Ccl2', 'Ahrr', 'Aacs']	0.6569390044424424	0.4851652286630984	-0.10866669179821432	0.11620713590883418	1.5234532128430702	0.29421694581554736	2.205036803340506	1.226219239374305	0.8695384712117866	3.23751398517136	0.7999999999999999	7	0.004612404761546451	0.1068956990265763	0.11422474071034026	0.001772734772570031	True	-2.5715644525331385	-2.3757913455867326	False	0.025089605734767026	0.032545371999945935	True	0.8169532923927104		
Amp	IV	GO:0014070_enh	response to stimulus:response to organic cyclic compound	['ENSMUSG00000003031', 'ENSMUSG00000044791', 'ENSMUSG00000005198', 'ENSMUSG00000032691']	['Cdkn1b', 'Setd2', 'Polr2a', 'Nlrp3']	0.6865039175685433	0.5454545454545455	-0.18333333333333335	0.03809523809523809	0.999252123911098	-0.15226302184866966	1.2235627892824714	0.8998378628303505	0.7805407495334535	2.326273404296975	0.7999999999999999	4	0.029299999999999993	0.08426200170335038	0.19725732621757952	9.393782681605345e-05	True	2.4542354993983215	2.291182455728106	True	0.0273972602739726	0.016747501474178948	True	0.8330868055144658		
Amp	IV	GO:0014070_supp	response to stimulus:response to organic cyclic compound	['ENSMUSG00000029378', 'ENSMUSG00000010376', 'ENSMUSG00000029482', 'ENSMUSG00000014813']	['Areg', 'Nedd8', 'Aacs', 'Stc1']	0.6865039175685433	0.48636363636363633	-0.19999999999999998	0.21904761904761907	0.7119983342814865	-0.43247645432440424	0.9139742960320976	0.740988750751372	0.7757772505152349	1.5237877355130052	0.8	4	0.03610000000000002	0.10354099406366153	0.18469195081603565	0.0026604287506230137	True	-1.7527853307125656	-1.6282613014160239	False	0.0273972602739726	0.03512045486748017	True	0.8330868055144658		
