Antibiotics	Condition	GO term	name	genes	gene names	GO significance	correlation	correlation_pbs	corrlation_abx	distance	"""log(distance)"""	mean variance between samples	distance_all	distance_pbs	mean variance between samples all mice	mean variance between samples pbs	size	p-value correlation	random correlation	std correlation	median t-test p-value	t-test less than 5%	normalized fold change	median zscore diff	enhanced?	relative size	MWU	MWU less than 5%	fdr GO significance	fdr correlation	fdr median t-test
Amp	PO	GO:0006414_enh	['metabolic process', 'cellular process']:translational elongation	['ENSMUSG00000042535', 'ENSMUSG00000016349']	['Gtpbp1', 'Eef1a2']	0.505401073339603	0.6293706293706294	0.37142857142857144	0.42857142857142855	0.5624821428116973	-0.9996178756921389	0.6886962993256475	0.5001324517336728	0.43778276065564836	1.5936180389661696	0.833333333333333	2	0.16490000000000005	0.2111905243054522	0.38467847778599945	0.0019889401071837604	True	1.74737927025872	1.7712406074554603	True	0.09090909090909091	0.016766161671893588	True	0.6450216497735073		
Amp	PO	GO:0006414_supp	['metabolic process', 'cellular process']:translational elongation	['ENSMUSG00000025508', 'ENSMUSG00000025967']	['Rplp2', 'Eef1b2']	0.505401073339603	0.9230769230769231	0.8285714285714286	1.0	0.20618171865857568	-2.3381091934967317	0.8590935759677596	0.19776935612811308	0.1893569935976506	1.3029532264110983	0.8333333333333333	2	0.0039000000000000146	0.29133941187715007	0.3607423271890874	0.037776754713300095	True	-1.6721893447072067	-1.3464280971589833	False	0.09090909090909091	0.07774149348947175	False	0.6450216497735073		
Amp	PO	GO:0000028_supp	cellular process:ribosomal small subunit assembly	['ENSMUSG00000028495', 'ENSMUSG00000050621', 'ENSMUSG00000009927', 'ENSMUSG00000040952', 'ENSMUSG00000067288', 'ENSMUSG00000036781']	['Rps6', 'Rps27rt', 'Rps25', 'Rps19', 'Rps28', 'Rps27l']	0.026425273959661655	0.9114219114219114	0.8666666666666668	0.8323809523809523	0.9451100511902144	-0.7532324984411318	1.8081244461048558	0.5932727818696301	0.2414355125490455	2.4056853334611974	0.8333333333333334	6	0.0004911591355599214	0.289903661406321	0.16197358652144178	0.018986909968138992	True	-2.1212347779831373	-1.6247968324963145	False	0.4	0.027214805750367756	True	0.18644606812983563		
Amp	PO	GO:0006412_enh	['metabolic process', 'cellular process']:translation	['ENSMUSG00000037058', 'ENSMUSG00000043424', 'ENSMUSG00000020454', 'ENSMUSG00000045983', 'ENSMUSG00000037772', 'ENSMUSG00000039652', 'ENSMUSG00000016349', 'ENSMUSG00000001729']	['Paip2', 'Eif3j2', 'Eif4enif1', 'Eif4g1', 'Mrpl23', 'Cpeb3', 'Eef1a2', 'Akt1']	0.05686529332071388	0.5839160839160839	0.31224489795918364	0.2775510204081632	0.5381374422934181	-0.6851311288663763	0.5208219988504941	0.6219492941111467	0.7057611459288756	1.1279272816839745	0.8333333333333335	8	0.008600000000000052	0.21125463111367968	0.12770567224800805	0.006314326665637844	True	1.2167120344962545	1.2381160267507887	True	0.028985507246376812	0.03820407917261111	True	0.2665560624408463		
Amp	PO	GO:0006412_supp	['metabolic process', 'cellular process']:translation	['ENSMUSG00000090862', 'ENSMUSG00000010406', 'ENSMUSG00000037563', 'ENSMUSG00000021967', 'ENSMUSG00000024683', 'ENSMUSG00000058558', 'ENSMUSG00000050621', 'ENSMUSG00000060938', 'ENSMUSG00000028495', 'ENSMUSG00000036781', 'ENSMUSG00000017404', 'ENSMUSG00000038900', 'ENSMUSG00000057863', 'ENSMUSG00000031167', 'ENSMUSG00000062006', 'ENSMUSG00000040952', 'ENSMUSG00000037805', 'ENSMUSG00000061787', 'ENSMUSG00000058443', 'ENSMUSG00000059796', 'ENSMUSG00000059291', 'ENSMUSG00000039001', 'ENSMUSG00000048758', 'ENSMUSG00000032399', 'ENSMUSG00000021607', 'ENSMUSG00000025362', 'ENSMUSG00000028936', 'ENSMUSG00000060636', 'ENSMUSG00000060036', 'ENSMUSG00000020372', 'ENSMUSG00000041841', 'ENSMUSG00000098274', 'ENSMUSG00000074129', 'ENSMUSG00000044533', 'ENSMUSG00000062328', 'ENSMUSG00000067288', 'ENSMUSG00000034892', 'ENSMUSG00000059070', 'ENSMUSG00000046364', 'ENSMUSG00000008668', 'ENSMUSG00000012405', 'ENSMUSG00000049960', 'ENSMUSG00000016510', 'ENSMUSG00000079641', 'ENSMUSG00000000740', 'ENSMUSG00000004788', 'ENSMUSG00000025967', 'ENSMUSG00000028234']	['Rps13', 'Mrpl52', 'Rps16', 'Mrpl57', 'Mrpl16', 'Rpl5', 'Rps27rt', 'Rpl26', 'Rps6', 'Rps27l', 'Rpl19', 'Rpl12', 'Rpl36', 'Rbm3', 'Rpl34', 'Rps19', 'Rpl10a', 'Rps17', 'Rpl10-ps3', 'Eif4a1', 'Rpl11', 'Rps21', 'Rpl29', 'Rpl4', 'Mrpl36', 'Rps26', 'Rpl22', 'Rpl35a', 'Rpl3', 'Rack1', 'Rpl37', 'Rpl24', 'Rpl13a', 'Rps2', 'Rpl17', 'Rps28', 'Rps29', 'Rpl18', 'Rpl27a', 'Rps18', 'Rpl15', 'Mrps16', 'Mtif3', 'Rpl39', 'Rpl13', 'Eif2b2', 'Eef1b2', 'Rps20']	0.05686529332071388	0.886146654763676	0.7520263424518743	0.8173758865248227	0.7075071617829983	-0.8351672323233165	1.0910948341668842	0.5605180618928761	0.41352896200275363	1.6763212538534298	0.8333333333333334	48	0.0004911591355599214	0.2916058207228237	0.05301049468923082	0.02045140212306291	True	-1.748271288395775	-1.4999001805357863	False	0.17391304347826086	0.027947829388022438	True	0.2665560624408463		
Amp	PO	GO:1902600_enh	['localization', 'cellular process']:proton transmembrane transport	['ENSMUSG00000079020', 'ENSMUSG00000025094', 'ENSMUSG00000013495', 'ENSMUSG00000024403', 'ENSMUSG00000028238']	['Slc45a4', 'Slc18a2', 'Tmem175', 'Atp6v1g2', 'Atp6v0d2']	0.9998278048136471	0.6864503597913882	0.2582273774919612	0.6057142857142856	0.8765947730387017	-0.36697450544694055	1.3403023851522158	0.7754069088117319	0.6742190445847621	1.7451006534678715	0.8333333333333334	5	0.01238751970996621	0.21290627502689258	0.1766145626317015	0.011502311401182578	True	1.74484115675278	1.4109647122528761	True	0.03968253968253968	0.045842704536287276	True	0.9999999995741693		
Amp	PO	GO:1902600_supp	['localization', 'cellular process']:proton transmembrane transport	['ENSMUSG00000062683', 'ENSMUSG00000025393', 'ENSMUSG00000069855']	['Atp5g2', 'Atp5b', 'Slc47a2']	0.9998278048136471	0.4236545546095472	-0.22516542614512888	-0.22460926186353705	0.9868926524646611	-0.19066888409793165	1.3877673069310321	0.8761993903133937	0.7655061281621264	1.9422062420050106	0.8333333333333334	3	0.33306088371955667	0.29372250639195385	0.25670028432615916	0.0015670514270787728	True	-1.908153636746554	-1.8369218890726722	False	0.023809523809523808	0.02048877148298217	True	0.9999999995741693		
Amp	PO	GO:0032981_supp	cellular process:mitochondrial respiratory chain complex I assembly	['ENSMUSG00000025204', 'ENSMUSG00000113902', 'ENSMUSG00000030647', 'ENSMUSG00000002416']	['Ndufb8', 'Ndufb1', 'Ndufc2', 'Ndufb2']	0.9923270039286127	0.7657342657342657	0.18095238095238098	0.9333333333333332	0.7817104850372675	-0.5481300866125915	6.0547774467567	0.6839059819370283	0.5861014788367893	5.515814288799711	0.8333333333333334	4	0.006399999999999961	0.2902647371731548	0.20912331837701126	0.024710141170469015	True	-1.9816888834496718	-2.725685980185331	False	0.06779661016949153	0.022699613831290398	True	0.998530052011885		
Amp	PO	GO:0009060_supp	['metabolic process', 'cellular process']:aerobic respiration	['ENSMUSG00000025204', 'ENSMUSG00000113902', 'ENSMUSG00000030647', 'ENSMUSG00000002416']	['Ndufb8', 'Ndufb1', 'Ndufc2', 'Ndufb2']	0.9697229813513044	0.7657342657342657	0.18095238095238098	0.9333333333333332	0.7817104850372675	-0.5481300866125915	6.0547774467567	0.6839059819370283	0.5861014788367893	5.515814288799711	0.8333333333333334	4	0.006399999999999961	0.2902647371731548	0.20912331837701126	0.024710141170469015	True	-1.9816888834496718	-2.725685980185331	False	0.07017543859649122	0.022699613831290398	True	0.9828273459641599		
Amp	PO	GO:0042776_supp	['metabolic process', 'cellular process']:proton motive force-driven mitochondrial ATP synthesis	['ENSMUSG00000025204', 'ENSMUSG00000113902', 'ENSMUSG00000030647', 'ENSMUSG00000025393', 'ENSMUSG00000002416']	['Ndufb8', 'Ndufb1', 'Ndufc2', 'Atp5b', 'Ndufb2']	0.9760866626352422	0.7923076923076923	0.22857142857142856	0.9428571428571428	0.8365524857590959	-0.5086428178277976	5.195634696737316	0.7028833482930157	0.5692142108269352	4.843527169183737	0.8333333333333334	5	0.0006333333333333746	0.292308472025645	0.18205148867756601	0.023392693560850154	True	-1.9440710872158438	-2.475455295089661	False	0.0847457627118644	0.02331968229187339	True	0.9866105080544901		
