Antibiotics	Condition	GO term	name	genes	gene names	GO significance	correlation	correlation_pbs	corrlation_abx	distance	"""log(distance)"""	mean variance between samples	distance_all	distance_pbs	mean variance between samples all mice	mean variance between samples pbs	size	p-value correlation	random correlation	std correlation	median t-test p-value	t-test less than 5%	normalized fold change	median zscore diff	enhanced?	relative size	MWU	MWU less than 5%	fdr GO significance	fdr correlation	fdr median t-test
Mix	PO	GO:0000028_supp	cellular process:ribosomal small subunit assembly	['ENSMUSG00000028495', 'ENSMUSG00000009927', 'ENSMUSG00000067288', 'ENSMUSG00000036781', 'ENSMUSG00000032834']	['Rps6', 'Rps25', 'Rps28', 'Rps27l', 'Pwp2']	0.013450889047723513	0.7832167832167832	0.7371428571428571	0.5542857142857143	1.1973926961854946	-0.32408905167447444	1.9251408951500326	0.7988026081038062	0.40021252002211777	2.4290645394018084	0.8333333333333336	5	0.0004911591355599214	0.1451223459489599	0.1345150053643824	0.02640167711690042	True	-1.8378122738847076	-1.204690457250043	False	0.3333333333333333	0.030205219185017323	True	0.24582659294115386		
Mix	PO	GO:0006412_enh	['metabolic process', 'cellular process']:translation	['ENSMUSG00000030738', 'ENSMUSG00000045983', 'ENSMUSG00000040731', 'ENSMUSG00000001729']	['Eif3c', 'Eif4g1', 'Eif4h', 'Akt1']	0.753671329158555	0.5372960372960373	0.0857142857142857	-0.1333333333333333	0.6707144013781626	-0.5605654901497918	0.5220250638617565	0.6780363431471165	0.6853582849160702	1.3828613022771261	0.8333333333333334	4	0.018100000000000005	0.12007403211550943	0.17166013016605852	0.0005150722002651494	True	1.4742258768965726	1.6093144717437344	True	0.014492753623188406	0.013333637611433004	True	0.8746988418701477		
Mix	PO	GO:0006412_supp	['metabolic process', 'cellular process']:translation	['ENSMUSG00000090862', 'ENSMUSG00000010406', 'ENSMUSG00000019774', 'ENSMUSG00000024683', 'ENSMUSG00000058558', 'ENSMUSG00000037275', 'ENSMUSG00000060938', 'ENSMUSG00000028495', 'ENSMUSG00000036781', 'ENSMUSG00000038900', 'ENSMUSG00000062006', 'ENSMUSG00000061787', 'ENSMUSG00000058443', 'ENSMUSG00000040354', 'ENSMUSG00000039001', 'ENSMUSG00000028936', 'ENSMUSG00000060636', 'ENSMUSG00000060036', 'ENSMUSG00000078240', 'ENSMUSG00000098274', 'ENSMUSG00000074129', 'ENSMUSG00000049517', 'ENSMUSG00000067288', 'ENSMUSG00000046364', 'ENSMUSG00000106918', 'ENSMUSG00000061477', 'ENSMUSG00000008668', 'ENSMUSG00000012405', 'ENSMUSG00000079641', 'ENSMUSG00000000740', 'ENSMUSG00000019863', 'ENSMUSG00000028234']	['Rps13', 'Mrpl52', 'Mtrf1l', 'Mrpl16', 'Rpl5', 'Gemin5', 'Rpl26', 'Rps6', 'Rps27l', 'Rpl12', 'Rpl34', 'Rps17', 'Rpl10-ps3', 'Mars1', 'Rps21', 'Rpl22', 'Rpl35a', 'Rpl3', 'Gm3550', 'Rpl24', 'Rpl13a', 'Rps23', 'Rps28', 'Rpl27a', 'Mrpl33', 'Rps7', 'Rps18', 'Rpl15', 'Rpl39', 'Rpl13', 'Qrsl1', 'Rps20']	0.753671329158555	0.7463343108504398	0.5609447004608296	0.4713133640552995	0.5990327166978063	-0.7957948541881708	0.41404374697012025	0.5760257240441212	0.5530187313904359	1.0922926037756162	0.8333333333333334	32	0.0004911591355599214	0.14622449647987568	0.038666845987741866	0.016765257936638946	True	-1.4206935823906472	-1.1974233632978792	False	0.11594202898550725	0.03562420211514367	True	0.8746988418701477		
Mix	PO	GO:1902600_enh	['localization', 'cellular process']:proton transmembrane transport	['ENSMUSG00000033793', 'ENSMUSG00000036123', 'ENSMUSG00000010122', 'ENSMUSG00000093989', 'ENSMUSG00000015575', 'ENSMUSG00000005299', 'ENSMUSG00000040904', 'ENSMUSG00000019210', 'ENSMUSG00000019082', 'ENSMUSG00000026062', 'ENSMUSG00000028854', 'ENSMUSG00000039105', 'ENSMUSG00000028238', 'ENSMUSG00000033685']	['Atp6v1h', 'Slc9a3', 'Slc47a1', 'Rnasek', 'Atp6v0e', 'Letm1', 'Gm21988', 'Atp6v1e1', 'Slc25a22', 'Slc9a2', 'Slc9a1', 'Atp6v1g1', 'Atp6v0d2', 'Ucp2']	0.34552535583811295	0.5408901381307699	0.0620936334979815	0.29624088845972874	0.6543700746429353	-0.43366504386913796	0.529860723823575	0.7403785256146995	0.8263869765864637	1.2206125777751027	0.8333333333333334	14	0.0004911591355599214	0.1220859905839441	0.061659981776364524	0.0001966178287570423	True	1.528866569747606	1.3356436724895957	True	0.1111111111111111	0.02531755483882758	True	0.6374470612063644		
Mix	PO	GO:1902600_supp	['localization', 'cellular process']:proton transmembrane transport	['ENSMUSG00000031129', 'ENSMUSG00000038600', 'ENSMUSG00000064356', 'ENSMUSG00000026904', 'ENSMUSG00000026177', 'ENSMUSG00000069855']	['Slc9a9', 'Atp6v0a4', 'mt-Atp8', 'Slc4a10', 'Slc11a1', 'Slc47a2']	0.34552535583811295	0.31277381213403366	-0.07238095238095239	-0.11434133071387347	0.8973179893534429	-0.19268031169055405	0.8548280332394019	0.8749786308593946	0.8526392723653465	1.476135181936378	0.8333333333333334	6	0.0904190784666149	0.14784782773049254	0.11550455208550979	0.0001566602038094228	True	-1.654028946232337	-1.5227708866696128	False	0.047619047619047616	0.041095017789015496	True	0.6374470612063644		
Mix	PO	GO:0032981_supp	cellular process:mitochondrial respiratory chain complex I assembly	['ENSMUSG00000030615', 'ENSMUSG00000113902', 'ENSMUSG00000002416']	['Tmem126a', 'Ndufb1', 'Ndufb2']	0.9770870168024776	0.7738927738927739	0.580952380952381	0.3904761904761905	0.8181264342102065	-0.6887345779857503	0.7936671562517464	0.6203977769834684	0.4226691197567301	1.7561790664340358	0.8333333333333334	3	0.003249999999999975	0.14430994508419775	0.22090808907949486	0.01062688779627404	True	-2.0616409116770176	-1.3455500249820014	False	0.05084745762711865	0.02099050902960987	True	0.9977260094646018		
Mix	PO	GO:0009060_enh	['metabolic process', 'cellular process']:aerobic respiration	['ENSMUSG00000037514', 'ENSMUSG00000029020']	['Pank2', 'Mfn2']	0.9715448719358928	0.2867132867132867	-0.2571428571428571	-0.08571428571428572	0.48686370482141267	-0.8741966390611933	0.5925282740438237	0.5455575740654964	0.6042514433095801	1.4442671329770265	0.8333333333333335	2	0.35	0.1183386482591367	0.3826222104512385	0.0002894755649254415	True	1.8196788232497956	1.707127608227408	True	0.03508771929824561	0.023710933225331868	True	0.9960631807879077		
Mix	PO	GO:0009060_supp	['metabolic process', 'cellular process']:aerobic respiration	['ENSMUSG00000113902', 'ENSMUSG00000002416']	['Ndufb1', 'Ndufb2']	0.9715448719358928	0.9090909090909091	0.7142857142857143	0.7714285714285715	0.750261872801134	-0.9838503881963815	1.097214012039644	0.5056284728963552	0.2609950729915766	2.206307306263781	0.8333333333333335	2	0.0027000000000000357	0.13871766133213045	0.3545150844029307	0.004606332962530008	True	-2.6105397421101175	-2.097913643725619	False	0.03508771929824561	0.01499611088804223	True	0.9960631807879077		
Mix	PO	GO:0042776_supp	['metabolic process', 'cellular process']:proton motive force-driven mitochondrial ATP synthesis	['ENSMUSG00000113902', 'ENSMUSG00000002416']	['Ndufb1', 'Ndufb2']	0.9988237265898352	0.9090909090909091	0.7142857142857143	0.7714285714285715	0.750261872801134	-0.9838503881963815	1.097214012039644	0.5056284728963552	0.2609950729915766	2.206307306263781	0.8333333333333335	2	0.0027000000000000357	0.13871766133213045	0.3545150844029307	0.004606332962530008	True	-2.6105397421101175	-2.097913643725619	False	0.03389830508474576	0.01499611088804223	True	0.9999989338682931		
Mix	PO	GO:0001666_enh	response to stimulus:response to hypoxia	['ENSMUSG00000022383', 'ENSMUSG00000028645', 'ENSMUSG00000032485', 'ENSMUSG00000002280', 'ENSMUSG00000059456', 'ENSMUSG00000059654', 'ENSMUSG00000029135', 'ENSMUSG00000038418', 'ENSMUSG00000030790', 'ENSMUSG00000041237', 'ENSMUSG00000039910', 'ENSMUSG00000072115', 'ENSMUSG00000042650', 'ENSMUSG00000075707', 'ENSMUSG00000031393', 'ENSMUSG00000057530', 'ENSMUSG00000055044', 'ENSMUSG00000033685']	['Ppara', 'Slc2a1', 'Scap', 'Ciao3', 'Ptk2b', 'Reg1', 'Fosl2', 'Egr1', 'Adm', 'Pklr', 'Cited2', 'Ang', 'Alkbh5', 'Dio3', 'Mecp2', 'Ece1', 'Pdlim1', 'Ucp2']	0.7855113087721516	0.5612857576472282	0.09056956115779645	0.24688535909569095	0.8564645317766991	-0.255909444354717	0.7568400302955866	0.8374590518152715	0.818453571853844	1.5735104271529545	0.8333333333333335	18	0.0004911591355599214	0.12174063827339128	0.05193869690833881	0.00017182238232873646	True	1.802752130756782	1.5387076715918901	True	0.09424083769633508	0.022483795998033552	True	0.8896192311642818		
