Antibiotics	Condition	GO term	name	genes	gene names	GO significance	correlation	correlation_pbs	corrlation_abx	distance	"""log(distance)"""	mean variance between samples	distance_all	distance_pbs	mean variance between samples all mice	mean variance between samples pbs	size	p-value correlation	random correlation	std correlation	median t-test p-value	t-test less than 5%	normalized fold change	median zscore diff	enhanced?	relative size	MWU	MWU less than 5%	fdr GO significance	fdr correlation	fdr median t-test
Neo	IV	GO:0006414_enh	['metabolic process', 'cellular process']:translational elongation	['ENSMUSG00000027774', 'ENSMUSG00000078812']	['Gfm1', 'Eif5a']	0.18445077414393907	0.806060606060606	0.5	0.5	0.8193675846009454	-0.8263209524049371	1.526888419899321	0.563965590894737	0.30856359718852877	2.063961612174872	0.7999999999999998	2	0.02429999999999999	0.13148549069237303	0.3888054893033891	0.019964648312775366	True	2.432745604154905	1.8239267711732152	True	0.09090909090909091	0.041996052556580794	True	0.43688729241247154		
Neo	IV	GO:0006412_enh	['metabolic process', 'cellular process']:translation	['ENSMUSG00000024079', 'ENSMUSG00000078812', 'ENSMUSG00000029145', 'ENSMUSG00000030738', 'ENSMUSG00000040731', 'ENSMUSG00000027774']	['Eif2ak2', 'Eif5a', 'Eif2b4', 'Eif3c', 'Eif4h', 'Gfm1']	0.9995722475474004	0.6234343434343435	0.14666666666666667	-0.03333333333333333	0.8062943762790761	-0.4051279319039465	0.7450876082099516	0.7551693246901767	0.7040442731012776	1.5716087088270552	0.7999999999999999	6	0.0005199999999999649	0.1343131440294284	0.13088911453714475	0.007987544872753514	True	2.176681770091145	1.5326380274559515	True	0.021739130434782608	0.027051237120993714	True	0.9995722475474004		
Neo	IV	GO:1902600_supp	['localization', 'cellular process']:proton transmembrane transport	['ENSMUSG00000064363', 'ENSMUSG00000064368', 'ENSMUSG00000064360', 'ENSMUSG00000064358', 'ENSMUSG00000065947', 'ENSMUSG00000064367', 'ENSMUSG00000064357', 'ENSMUSG00000064356', 'ENSMUSG00000040904', 'ENSMUSG00000064354', 'ENSMUSG00000025453', 'ENSMUSG00000069855', 'ENSMUSG00000064351', 'ENSMUSG00000064345', 'ENSMUSG00000064341']	['mt-Nd4', 'mt-Nd6', 'mt-Nd3', 'mt-Co3', 'mt-Nd4l', 'mt-Nd5', 'mt-Atp6', 'mt-Atp8', 'Gm21988', 'mt-Co2', 'Nnt', 'Slc47a2', 'mt-Co1', 'mt-Nd2', 'mt-Nd1']	0.011218517696879204	0.7993050756329472	0.5045517624405282	0.5304761904761905	0.6043853963347926	-0.8480568519242901	0.6313558712868913	0.5555324721663798	0.5066795479979669	1.5296745646011556	0.8000000000000002	15	0.0004911591355599214	0.15466019279849685	0.0763561361361824	0.01070287477985713	True	-1.654987186646327	-1.753755885962275	False	0.11904761904761904	0.01964091693849438	True	0.13230350095417007		
Neo	IV	GO:0032981_supp	cellular process:mitochondrial respiratory chain complex I assembly	['ENSMUSG00000064363', 'ENSMUSG00000064368', 'ENSMUSG00000064367', 'ENSMUSG00000064345', 'ENSMUSG00000064341']	['mt-Nd4', 'mt-Nd6', 'mt-Nd5', 'mt-Nd2', 'mt-Nd1']	0.37146722281158606	0.9406060606060607	0.8800000000000001	0.9099999999999999	0.2469633435376702	-2.4317580808980535	0.44680195334336104	0.18533945236656232	0.12371556119545446	1.2867019704826927	0.8	5	0.0004911591355599214	0.15360539311202992	0.16550078384921077	0.01634361719067186	True	-1.5600458203194303	-1.6309891014012246	False	0.0847457627118644	0.02039262154164189	True	0.5970037635472587		
Neo	IV	GO:0009060_supp	['metabolic process', 'cellular process']:aerobic respiration	['ENSMUSG00000064363', 'ENSMUSG00000064368', 'ENSMUSG00000065947', 'ENSMUSG00000064367', 'ENSMUSG00000064360', 'ENSMUSG00000064345', 'ENSMUSG00000064351', 'ENSMUSG00000064341']	['mt-Nd4', 'mt-Nd6', 'mt-Nd4l', 'mt-Nd5', 'mt-Nd3', 'mt-Nd2', 'mt-Co1', 'mt-Nd1']	0.013924010694446487	0.9060606060606061	0.7285714285714284	0.8999999999999998	0.2598996888709108	-2.1482078508432005	0.4937356761522931	0.22559267811053701	0.1912856673501633	1.3392725342110043	0.8	8	0.0004911591355599214	0.15451390822942435	0.11698937697291868	0.015765519814775766	True	-1.658436129811817	-1.6939850949470106	False	0.14035087719298245	0.0220762576994041	True	0.13361866902098526		
Neo	IV	GO:0042776_enh	['metabolic process', 'cellular process']:proton motive force-driven mitochondrial ATP synthesis	['ENSMUSG00000021577', 'ENSMUSG00000058076']	['Sdha', 'Sdhc']	0.005931938332996434	0.9030303030303031	0.9	0.5	0.2022972918764238	-2.431962921614306	0.3498364102246259	0.185313138856088	0.16832898583575212	1.2699387498767476	0.8	2	0.0037000000000000366	0.13148549069237303	0.3888054893033891	0.011954855782264084	True	1.387618101509047	1.6644336443233838	True	0.03389830508474576	0.011223917161691232	True	0.09611002213993157		
Neo	IV	GO:0042776_supp	['metabolic process', 'cellular process']:proton motive force-driven mitochondrial ATP synthesis	['ENSMUSG00000064363', 'ENSMUSG00000064368', 'ENSMUSG00000065947', 'ENSMUSG00000064367', 'ENSMUSG00000064360', 'ENSMUSG00000064357', 'ENSMUSG00000064345', 'ENSMUSG00000064341']	['mt-Nd4', 'mt-Nd6', 'mt-Nd4l', 'mt-Nd5', 'mt-Nd3', 'mt-Atp6', 'mt-Nd2', 'mt-Nd1']	0.005931938332996434	0.9432900432900434	0.825	0.9249999999999998	0.25573613319658306	-2.3130416884140277	0.45376085543794864	0.20123571937233325	0.1467353055480835	1.363550372377098	0.8	8	0.0004911591355599214	0.15451390822942435	0.11698937697291868	0.01340657996077047	True	-1.6258737413600826	-1.7445767593923942	False	0.13559322033898305	0.018563845961646123	True	0.09611002213993157		
Neo	IV	GO:0001666_enh	response to stimulus:response to hypoxia	['ENSMUSG00000022314', 'ENSMUSG00000029249', 'ENSMUSG00000017697', 'ENSMUSG00000042650']	['Rad21', 'Rest', 'Ada', 'Alkbh5']	0.3159009336380496	0.6161616161616161	0.3166666666666667	-0.09999999999999999	0.5515749051519767	-0.8656108458978795	0.505054506061611	0.5488139864967254	0.5460530678414741	1.4477585277632348	0.7999999999999999	4	0.009000000000000008	0.13287432436581395	0.1850550304885939	0.004138464785862138	True	1.5587081119646036	1.7982203750367403	True	0.020942408376963352	0.021710831743926677	True	0.575352239771736		
Neo	IV	GO:0001666_supp	response to stimulus:response to hypoxia	['ENSMUSG00000064363', 'ENSMUSG00000027478', 'ENSMUSG00000027577', 'ENSMUSG00000030400', 'ENSMUSG00000031380', 'ENSMUSG00000064367', 'ENSMUSG00000064354', 'ENSMUSG00000020828', 'ENSMUSG00000064370', 'ENSMUSG00000064351', 'ENSMUSG00000064341']	['mt-Nd4', 'Dnmt3b', 'Chrna4', 'Ercc2', 'Vegfd', 'mt-Nd5', 'mt-Co2', 'Pld2', 'mt-Cytb', 'mt-Co1', 'mt-Nd1']	0.3159009336380496	0.6235812672176309	0.32363636363636367	0.18545454545454548	1.5219220916294602	0.11601526504107779	2.246161053726818	1.0837374337234018	0.645552775817343	2.9403067696136636	0.8	11	0.0004911591355599214	0.15530302365214926	0.0946082735749283	0.005824081286807574	True	-1.9711807097581568	-1.8091438775785613	False	0.05759162303664921	0.033417666842837604	True	0.575352239771736		
Neo	IV	GO:0006120_supp	['metabolic process', 'cellular process']:mitochondrial electron transport, NADH to ubiquinone	['ENSMUSG00000064363', 'ENSMUSG00000064368', 'ENSMUSG00000064367', 'ENSMUSG00000064360', 'ENSMUSG00000064345', 'ENSMUSG00000064341']	['mt-Nd4', 'mt-Nd6', 'mt-Nd5', 'mt-Nd3', 'mt-Nd2', 'mt-Nd1']	0.0010556328821970107	0.9393939393939394	0.8266666666666667	0.9266666666666666	0.2416364158514853	-2.412183257886532	0.4907843818027235	0.18787131894689976	0.1341062220423142	1.322509811360027	0.7999999999999999	6	0.0004911591355599214	0.1539386707816533	0.14498066616235286	0.018466455499276044	True	-1.6289272296655406	-1.673512331638797	False	0.24	0.021953770702674427	True	0.04199963801632173	0.0008022265880812049	0.019521681527806103
