sample_id	Unassigned_335	c__Bacteroidia_257	c__Clostridia_258483_128	d__Bacteria_138	f__Acetobacteraceae	f__Acidaminococcaceae	f__Actinomycetaceae	f__Acutalibacteraceae	f__Aerococcaceae	f__Aeromonadaceae	f__Akkermansiaceae	f__Alteromonadaceae_665222	f__Amphibacillaceae	f__Anaerofustaceae	f__Anaeroplasmataceae	f__Anaerotignaceae	f__Anaerovoracaceae	f__Anoxybacillaceae	f__Atopobiaceae	f__Bacillaceae_H_294103	f__Bacteroidaceae	f__Beijerinckiaceae	f__Bifidobacteriaceae	f__Borkfalkiaceae	f__Burkholderiaceae_A_580492	f__Burkholderiaceae_A_592522	f__Burkholderiaceae_A_595427	f__Butyricicoccaceae	f__CAG-138	f__CAG-239	f__CAG-272	f__CAG-314	f__CAG-508	f__CAG-552	f__CAG-74	f__CAG-917	f__Caulobacteraceae	f__Cellulomonadaceae	f__Cellulosilyticaceae	f__Christensenellaceae	f__Clostridiaceae_222000	f__Coprobacillaceae	f__Coriobacteriaceae	f__DSM-27016_98371	f__DSM-8532	f__Dehalobacteriaceae	f__Desulfovibrionaceae	f__Dialisteraceae	f__Dysgonomonadaceae	f__Eggerthellaceae	f__Enterobacteriaceae_A	f__Enterococcaceae	f__Erysipelotrichaceae	f__Filifactoraceae_235824	f__Fusobacteriaceae_993521	f__Gastranaerophilaceae	f__Gemellaceae	f__Helicobacteraceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Leptotrichiaceae	f__Marinifilaceae	f__Marinilabiliaceae	f__Megasphaeraceae	f__Methanobacteriaceae	f__Microbacteriaceae	f__Micrococcaceae	f__Moraxellaceae	f__Mucispirillaceae	f__Muribaculaceae	f__Mycobacteriaceae	f__Nanosyncoccaceae	f__Neisseriaceae_563222	f__Oscillospiraceae_45227	f__Oscillospiraceae_88309	f__Pasteurellaceae	f__Peptoniphilaceae	f__Peptostreptococcaceae_256921	f__Porphyromonadaceae	f__Pseudomonadaceae	f__QAKW01	f__Rikenellaceae	f__Ruminococcaceae	f__Selenomonadaceae_42771	f__Sphingomonadaceae	f__Staphylococcaceae	f__Streptococcaceae	f__Syntrophobotulaceae	f__Tannerellaceae	f__Turicibacteraceae	f__UBA1242	f__UBA1381	f__UBA644	f__UBA660	f__UBA932	f__Vagococcaceae	f__Veillonellaceae	f__Weeksellaceae	f__Xanthobacteraceae_503485	f__Xylanivirgaceae	o__Bacteroidales_464	o__Christensenellales_368	o__Christensenellales_93	o__Clostridiales_255	o__Lachnospirales_145	o__Lachnospirales_232	o__Lachnospirales_359	o__Oscillospirales_323	o__RFN20_396	o___261	p__Firmicutes_A_198	is_treatment	antibiotic	treatment
A1.d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010233843319858774	0.0	0.0	0.015350764979788161	0.0	0.0	0.0	3.499974415391701	0.0	0.0	0.0	0.0	0.0	2.7119684797625756	0.0	0.015350764979788161	85.23256408944378	0.0	0.0	0.10745535485851712	0.0	0.0	0.0	0.0	1.6988179910965564	0.04605229493936449	0.5219260093127974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010233843319858774	0.0	0.0	0.02046768663971755	0.04605229493936449	0.0	0.0	0.0	0.0	0.015350764979788161	0.0	0.0	0.8596428388681371	0.08698766821879958	0.0	0.025584608299646934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.635931023896025	0.0	0.0	0.0	0.0	0.15350764979788162	0.0	0.0	0.0	0.025584608299646934	0.0	0.0	0.06651998157908204	0.03581845161950571	0.0	0.0	0.0	0.0	0.0	0.0409353732794351	0.0	0.03581845161950571	0.0	0.0	0.05116921659929387	0.030701529959576323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A13.d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08308408109006314	0.0	0.0	0.0	0.0	0.0	77.12695247590561	0.0	0.0	0.0	0.0	0.0	0.9887005649717513	0.0	0.0	0.0	0.0	0.03323363243602525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.574941841143236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8142239946826186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.406779661016948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9720837487537387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IV
A14.d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.334714167357088	0.0	0.0	0.0	0.0	0.0	2.7892847279756974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8227009113504555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.53438276719139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.187517260425297	0.0	0.0	0.0	0.0	0.0	0.3314001657000828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IV
A15.d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031133250311332503	0.0	0.0	0.0	0.0	0.0	35.89663760896638	0.0	0.0	0.07004981320049813	0.0	0.0	0.863947696139477	0.0	0.0	0.0	0.0	0.07004981320049813	0.0	0.023349937733499377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08561643835616438	0.0	0.0	0.0	12.033001245330011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1478829389788294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.57098381070983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.207347447073475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IV
A16.d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.14377634790326	0.0	0.0	0.029583610679683455	0.0	0.0	0.6286517269432734	0.0	0.0	0.0	0.0	0.07395902669920863	0.0	0.06656312402928777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08875083203905036	0.0	0.0	0.0	11.72990163449449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14791805339841727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014791805339841728	43.214259300347614	0.0	0.0	0.0	0.0	0.02218770800976259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.839656830116116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IV
A18.d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006719075455217362	0.0	0.0	0.0	0.0	0.0	0.016797688638043404	0.0	0.0	0.0	0.0	0.0	0.23180810320499898	0.0	0.0	3.594705368541288	0.07726936773499966	0.0	0.0	0.0	0.0	0.0	0.0	0.10078613182826045	0.0	0.050393065914130224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010078613182826044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5834845125310757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.78680373580596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12094335819391254	0.0	0.0	12.420210978969296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IV
A2.d4	0.02798572727908766	0.0	0.04897502273840341	0.0	0.0	0.0	0.0	0.04547680682851745	0.0	0.0	0.059469670468061286	0.0	0.0	0.0	4.841530819282165	0.0	0.0	0.0	0.0	0.0	0.6401735115091303	0.0	0.11893934093612259	55.67060798992514	0.17141257958441192	0.0	0.0	0.0	0.0	0.0	0.0	0.5387252501224375	0.0	34.471419576016224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01399286363954383	0.0	0.0	0.0	0.4197859091863149	0.02798572727908766	0.0	0.0	0.0	0.0	0.0	0.0	0.8850486252011474	0.006996431819771915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.483243545791646	0.0	0.0	0.0	0.0	0.12943398866578043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14692506821521023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024487511369201704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22738403414258726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A5.d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048123195380173234	0.0	0.0	0.22457491177414174	0.0	0.0	0.0	1.331408405518126	0.0	0.0	0.0	0.0	0.08020532563362205	0.9464228424767402	0.0	0.1283285210137953	1.6682707731793385	89.01187038819376	0.0	0.0	0.0	0.0	0.0	0.0	0.2406159769008661	0.19249278152069293	0.6256015399422519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048123195380173234	0.0	0.0	0.0	0.36894449791466144	0.0	0.0	0.0	0.0	0.3368623676612125	0.0	0.0	1.138915623997433	0.0	0.0	0.048123195380173234	0.08020532563362205	0.0	0.0	0.0	0.0	0.0	0.0	3.320500481231953	0.0	0.0	0.0	0.0	0.032082130253448825	0.0	0.0	0.0	0.0	0.0	0.0	0.06416426050689765	0.0	0.0	0.0	0.0	0.0	0.0	0.06416426050689765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	PO
A8.d4	0.0	0.0	0.0	0.37947235272858687	0.0	0.0	0.0	0.0	0.0	0.0	0.2891217925551139	0.0	0.0	0.0	3.8308637513552584	0.0	0.0	0.0	0.0	0.0	2.5659559089266355	0.0	0.37947235272858687	21.738344777737623	8.49295265630647	0.0	0.0	0.0	0.0	0.0	0.3433321286591977	25.948680881821467	0.0	7.173834477773761	0.0	0.21684134441633535	0.0	0.0	0.0	0.0	0.7408745934224792	0.0	0.0	0.0	0.0	0.0	0.05421033610408384	0.0	0.0	0.0	16.22696060715576	0.46982291290205996	0.0	0.0	0.14456089627755694	0.0	0.0	0.0	1.8612215395735454	0.18070112034694613	0.12649078424286228	0.0	0.3614022406938923	0.0	0.0	0.05421033610408384	0.0	0.0	0.0	4.553668232743043	0.0	0.0	0.0	0.0	0.3071919045898085	0.0	0.0	0.0	0.0	0.09035056017347308	0.0	0.23491145645102998	0.5782435851102277	0.0	0.0	0.0	0.18070112034694613	0.0	0.0	0.0	0.0	0.3433321286591977	0.0	0.0	0.2710516805204193	0.0	0.2710516805204192	0.0	0.0	0.0	0.0	0.0	1.5901698590531261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ABX	amp	IP
C10.d4	0.0	0.0	0.01486767766874814	0.0	0.0	0.0	0.0	0.22797105758747152	0.0	0.0	0.8747150361780157	0.0	0.0	0.0	0.12389731390623453	0.01486767766874814	0.00495589255624938	0.0	0.0	0.0	22.22965606105659	0.0	0.0	0.1313311527406086	0.0	0.0	0.11894142134998514	0.0	0.0	0.0	0.01982357022499752	0.07433838834374072	0.631876300921796	0.049558925562493805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12389731390623453	0.10655168995936168	0.0	0.0	0.03716919417187036	0.0792942808999901	0.0	0.0	0.0	0.0	0.05699276439686788	0.0	0.0	2.6761819803746656	0.0	0.0	0.14867677668748142	0.0	0.0	0.0	0.0	0.0	0.0	0.01982357022499752	69.30072356031322	0.0	0.0	0.0	0.0	1.3133115274060858	0.0	0.0	0.0	0.0	0.0	0.0	0.7904648627217763	0.2849638219843394	0.0	0.0	0.0	0.00743383883437407	0.0	0.05203687184061849	0.0	0.0	0.0	0.0	0.044603033006244415	0.3915155119437011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03964714044999504	0.0	0.00991178511249876	0.0	0.0	0.0	0.0	0.0	0.0	PBS	PBS	IP
