gene_id	24h_c_13_S1	24h_c_14_S2	24h_c_15_S3	24h_c_16_S4	24h_c_17_S5	24h_c_18_S6	24h_v_19_S7	24h_v_20_S8	24h_v_21_S9	24h_v_22_S10	24h_v_23_S11	24h_v_24_S12	gene_name
ENSRNOG00000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Arsj
ENSRNOG00000000007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gad1
ENSRNOG00000000008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Alx4
ENSRNOG00000000009	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	Tmco5b
ENSRNOG00000000010	104.0	157.0	182.0	242.0	119.0	131.0	104.0	153.0	145.0	121.0	119.0	121.0	Cbln1
ENSRNOG00000000012	305.0	313.0	268.0	392.0	262.0	326.0	268.0	220.0	235.0	306.0	291.0	366.0	Tcf15
ENSRNOG00000000017	46.0	62.0	60.0	69.0	45.0	57.0	60.0	46.0	53.0	55.0	52.0	71.0	Steap1
ENSRNOG00000000024	282.0	295.0	451.0	575.0	309.0	392.0	272.0	340.0	401.0	308.0	342.0	405.0	Hebp1
ENSRNOG00000000033	80.0	91.0	76.0	73.0	89.0	118.0	74.0	56.0	65.0	82.0	69.0	84.0	Tmcc2
ENSRNOG00000000034	24.0	32.0	33.0	35.0	18.0	20.0	18.0	12.0	21.0	12.0	17.0	12.0	Nuak2
ENSRNOG00000000035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Tmed11
ENSRNOG00000000036	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Klhdc8a
ENSRNOG00000000040	4.0	3.0	17.0	6.0	7.0	7.0	8.0	2.0	6.0	7.0	10.0	3.0	Kiaa1614
ENSRNOG00000000041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Slc26a1
ENSRNOG00000000042	0.0	0.0	0.0	1.0	0.0	3.0	0.0	2.0	1.0	0.0	1.0	1.0	Xpr1
